plot.id,block.id.harvest,site.id,block.id,site.name,region,landuse,block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,rain.sum,target.sp.,pasture.disc.harvest,height.harvest,spo_pyr,mic_kun,sol_inc,the_tri,chr_ori,chl_pyc,het_con,spo_fes,dic_cin,dig_sp,dig_mac,bot_ins,ind_vol,ble_sp,cyp_sp,spo_ioc,pan_col,ind_sp,pen_mez,tri_ter,tra_bet,gut_cor,bra_sp,eup_ind,cyn_dac,sid_ova,jus_mat,ind_hoc,dac_aeg,era_rac,era_ten,oxy_sin,leu_sp,bid_sp,dys_rad,sph_sp,com_ben,spo_afr,bra_sem,dys_sp,chl_gay,kyl_sp,cro_spi,bra_bri,tra_ber,arc_sp,ari_ken,dic_rad,spo_sp,gut_pet,era_sp,pan_max,spo_fim,cyn_ple,aca_rob,lon_sp,kyl_ner,eup_hir,dic_mon,kyl_alb,rue_pat,old_sp,spo_sta,ipo_sp,mon_sp,het_ste,sen_aby,cyn_sp,hel_ste,son_sp,gut_sp,dac_gig,mar_sp,cra_pla,tep_pum,hyp_dis,bot_scr,oci_sua,eup_ina,ach_asp,her_sp,dig_vel ,cya_sp,com_tru,bid_sch,mar_amo,sed_ort,target.sp.cover.harvest,sum.sp.harvest,total.veg.cover.harvest
SE_3_OP_H2,SE_3_H2,SE,SE_3,Seronera,SE,W,3,OP,H2,1027,-2.437991,34.855418,3/18/2017,5/17/2017,60,136.42,Dig.mac,4.5,22.4,,,,,,,,,,,,,,,7.00,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,47,55
SE_4_EX_H2,SE_4_H2,SE,SE_4,Seronera,SE,W,4,EX,H2,1026,-2.438079,34.854989,3/18/2017,5/17/2017,60,136.42,Dig.mac,5.5,24.4,,,5.00,18.00,,,,,,,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,48,60
SE_4_EX2_H2,SE_4_H2,SE,SE_4,Seronera,SE,W,4,EX2,H2,1026,-2.438079,34.854989,3/18/2017,5/17/2017,60,136.42,Dig.mac,10.5,28,,,,15.00,,,,,,,,10.00,,,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,75,85
SE_4_OP_H2,SE_4_H2,SE,SE_4,Seronera,SE,W,4,OP,H2,1026,-2.438079,34.854989,3/18/2017,5/17/2017,60,136.42,Dig.mac,5,20.4,,,,,,,,,,,,,,,,,45.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,55,60
WET_W_1_EX_H3,WET_W_1_H3,WET_W,WET_W_1,Handajega,WET,W,1,EX,H3,954,-2.272484,34.023326,5/13/2017,7/24/2017,72,95.97,The.tri,1.6,7.2,,5.00,,,,,,,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,17
WET_W_1_OP_H3,WET_W_1_H3,WET_W,WET_W_1,Handajega,WET,W,1,OP,H3,954,-2.272484,34.023326,5/13/2017,7/24/2017,72,95.97,The.tri,2,6.8,,5.00,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,23,25
WET_W_2_EX_H3,WET_W_2_H3,WET_W,WET_W_2,Handajega,WET,W,2,EX,H3,953,-2.2783,34.024459,5/13/2017,7/24/2017,72,95.97,The.tri,2,4.2,,,,,,,8.00,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,23,27
WET_W_2_OP_H3,WET_W_2_H3,WET_W,WET_W_2,Handajega,WET,W,2,OP,H3,953,-2.2783,34.024459,5/13/2017,7/24/2017,72,95.97,The.tri,1.5,10.2,,7.00,,,,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,20,25
WET_W_3_EX_H3,WET_W_3_H3,WET_W,WET_W_3,Handajega,WET,W,3,EX,H3,951,-2.277999,34.027678,5/13/2017,7/24/2017,72,95.97,The.tri,3,21,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,45,65
WET_W_3_OP_H3,WET_W_3_H3,WET_W,WET_W_3,Handajega,WET,W,3,OP,H3,951,-2.277999,34.027678,5/13/2017,7/24/2017,72,95.97,The.tri,2.5,6.8,,,,,,,5.00,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,26,30
