Season;Plot;Site;Region;Landuse;Block;Blockcode;Treatment;Green tea code;Red tea code;Initial weight green tea including bag, cord and label;Initial weight red tea including bag, cord, and label;Initial weight green tea tea only;Ashed subsample percentage controll initial green tea tea only;Ashed initial corrected weight green tea tea only;Initial weight red tea tea only;Ashed subsample percentage controll initiall red tea tea only;Ashed Initial corrected weight red tea tea only;Final weight green tea including bag and cord, no label;Final weight red tea including bag and cord, no label;Final weight green tea tea only;Final weight red tea tea only;Ashed subsample percentage green tea;Ashed subsample percentage red tea;Ashed final weight green tea tea only;Ashed final weight red tea tea only;Fraction decomposed green tea (ag) ;Fraction decomposed green tea (ag) ASH CORRECTED;Predicted labile fraction red tea (ar) KEUSHAMP;Predicted labile fraction red tea (ar) MUELLER; Fraction remaining red tea (Wt); Fraction remaining red tea (Wt) ASH CORRECTED;Date of burial;Recovery date;incubation time      red and green tea (t);S (Keushamp);K (Keushamp);S (Mueller);K (Mueller);Sign of termite cheeting on red tea;Sign of hole(s) on red tea;Sign of roots on red tea;Sign of termite cheeting on green tea;Sign of hole(s) on green tea;Sign of roots on green tea;Massloss (g) Green tea ;Massloss (g) Ash corrected Green tea;Massloss (g) Red tea ;Massloss (g) Ash corrected Red tea;;;;;;;;Keushamp;P.Mueller et al.
Wet;36;Makao;Dry;Pasture;1;Dry_P1_T4;Open;G507;R126;1,99;2,24;1,7402;5,509415873;1,644325145;1,9902;2,281664727;1,944790309;0,681;1,618;0,5304;1,4674;8,301;3,290;0,486;1,419;0,695;0,704211997;0,455765452;0,503708719;0,737312833;0,713056775;30.01.2017;26.03.2017;55;0,174337948;0,015616047;0,254868759;0,013402033;YES;;YES;;;YES;1,2098;1,157953494;0,5228;0,525664716;;;;;;;;;
Wet;37;Makao;Dry;Pasture;1;Dry_P1_T5;Open;G359;R63;1,979;2,175;1,7292;5,509415873;1,633931181;1,9252;2,281664727;1,881273391;0,947;1,362;0,7964;1,2114;25,172;70,931;0,596;0,352;0,539;0,635278643;0,353647259;0,390848422;0,629233326;0,182909491;30.01.2017;26.03.2017;55;0,359334675;;0,421821861;0,053972881;YES;YES;YES;YES;YES;;0,9328;1,038001584;0,7138;1,529136038;;;;;;;;;
Wet;38;Makao;Dry;Pasture;1;Dry_P1_T6;Open;G499;R87;1,942;2,293;1,6922;5,509415873;1,598969665;2,0432;2,281664727;1,996581026;;1,14;;0,9894;18,803;21,802;;0,774;;;;;0,484240407;0,37866811;30.01.2017;26.03.2017;55;;;;;YES;YES;;YES;YES;YES;;;1,0538;1,222886345;;;;;;;;;
Wet;39;Makao;Dry;Pasture;1;Dry_P1_T7;Open;G214;R437;1,985;2,197;1,7352;5,509415873;1,639600616;1,9472;2,281664727;1,902771424;0,8327;1,4531;0,6821;1,3025;9,946;3,664;0,614;1,255;0,607;0,625361437;0,397875374;0,439729018;0,668909203;0,644401049;30.01.2017;26.03.2017;55;0,279211279;0,032448485;0,349513287;0,025420643;;;YES;;;YES;1,0531;1,025342997;0,6447;0,647993701;;;;;;;;;
Wet;40;Makao;Dry;Pasture;1;Dry_P1_T8;Open;G582;R114;2,022;2,245;1,7722;5,509415873;1,674562132;1,9952;2,281664727;1,949676225;0,898;2,227;0,7474;2,0764;16,508;24,827;0,624;1,561;0,578;0,62735281;0,379099639;0,41897821;1,040697674;0,782328232;30.01.2017;26.03.2017;55;0,313225292;-0,001854053;0,380209749;-0,001685504;;YES;;;YES;;1,0248;1,050541259;-0,0812;0,388774937;;;;;;;;;
Wet;41;Makao;Dry;Pasture;2;Dry_P2_T1;Open;G453;R521;2,079;2,144;1,8292;5,509415873;1,728421765;1,8942;2,281664727;1,850980707;1,051;1,512;0,9004;1,3614;20,030;6,873;0,720;1,268;0,508;0,583404448;0,332880228;0,367896847;0,718720304;0,66932372;31.01.2017;26.03.2017;54;0,396956109;0,034523162;0,455773894;0,026783421;;;;;YES;YES;0,9288;1,008368946;0,5328;0,583147717;;;;;;;;;
Wet;42;Makao;Dry;Pasture;2;Dry_P2_T2;Open;G764;R371;1,951;2,253;1,7012;5,509415873;1,607473817;2,0032;2,281664727;1,957493692;0,722;1,649;0,5714;1,4984;14,237;2,663;0,490;1,459;0,664;0,695142171;0,435384719;0,481184078;0,748003195;0,72808595;31.01.2017;26.03.2017;54;0,211259566;0,0160116;0,288189234;0,013735379;;;;;YES;;1,1298;1,117422839;0,5048;0,498991917;;;;;;;;;
Wet;43;Makao;Dry;Pasture;2;Dry_P2_T3;Open;G690;R376;2,074;2,177;1,8242;5,509415873;1,723697236;1,9272;2,281664727;1,883227757;0,7152;1,3533;0,5646;1,2027;;6,779;;1,121;0,690;;0,452675705;0,500293952;0,624066002;0,581761528;31.01.2017;26.03.2017;54;0,179935317;0,032865382;0,259920189;0,025778067;YES;YES;;;YES;YES;1,2596;;0,7245;0,76205694;;;;;;;;;
Wet;44;Makao;Dry;Pasture;2;Dry_P2_T4;Open;G774;R166;2,005;2,222;1,7552;5,509415873;1,658498733;1,9722;2,281664727;1,927201008;0,8956;1,6101;0,745;1,4595;8,346;4,868;0,683;1,388;0,576;0,588290241;0,377318188;0,417009363;0,740036507;0,704008898;31.01.2017;26.03.2017;54;0,316452558;0,021627554;0,383122244;0,018084643;;;YES;;;YES;1,0102;0,975678619;0,5127;0,53875466;;;;;;;;;
Wet;45;Makao;Dry;Pasture;2;Dry_P2_T5;Open;G519;R469;2,143;2,231;1,8932;5,509415873;1,788895739;1,9812;2,281664727;1,935995658;0,7757;1,5804;0,6251;1,4298;9,377;3,525;0,566;1,379;0,670;0,683331387;0,439120784;0,48531315;0,721683828;0,696245431;31.01.2017;26.03.2017;54;0,204491334;0,018603416;0,282081139;0,015779447;;;;;;YES;1,2681;1,222408607;0,5514;0,55659421;;;;;;;;;
