plotcode,latitude,longitude,year,month,day,time,plot.ID,area,block,block.rep,landuse,n_vs_non.N,Moisture.m3.m3
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,14,06:00:00,13,Makao,3,3,pasture,legume,0.261
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,14,09:00:00,13,Makao,3,3,pasture,legume,0.261
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,14,12:00:00,13,Makao,3,3,pasture,legume,0.259
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,14,15:00:00,13,Makao,3,3,pasture,legume,0.259
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,14,18:00:00,13,Makao,3,3,pasture,legume,0.259
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,14,21:00:00,13,Makao,3,3,pasture,legume,0.260
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,15,00:00:00,13,Makao,3,3,pasture,legume,0.258
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,15,03:00:00,13,Makao,3,3,pasture,legume,0.257
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,15,06:00:00,13,Makao,3,3,pasture,legume,0.255
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,15,09:00:00,13,Makao,3,3,pasture,legume,0.253
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,15,12:00:00,13,Makao,3,3,pasture,legume,0.251
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,15,15:00:00,13,Makao,3,3,pasture,legume,0.248
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,15,18:00:00,13,Makao,3,3,pasture,legume,0.248
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,15,21:00:00,13,Makao,3,3,pasture,legume,0.249
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,16,00:00:00,13,Makao,3,3,pasture,legume,0.248
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,16,03:00:00,13,Makao,3,3,pasture,legume,0.247
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,16,06:00:00,13,Makao,3,3,pasture,legume,0.249
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,16,09:00:00,13,Makao,3,3,pasture,legume,0.248
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,16,12:00:00,13,Makao,3,3,pasture,legume,0.247
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,16,15:00:00,13,Makao,3,3,pasture,legume,0.244
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,16,18:00:00,13,Makao,3,3,pasture,legume,0.243
TZ_SS_MP13,-3.408244019,34.85029503,2017,2,16,21:00:00,13,Makao,3,3,pasture,legume,0.243
