,X.1,X,Region,Site,Block,Circle,Block.ID,Latitude,Longitude,landuse,Last_fire.yr,Fire_frequency.2000_2017.x,MAP.mm_yr,AhorC.kg_m2,AhorN.kg_m2,livestock,wild,total.dung,Livestock.bm,MinC.kg_m2,MinN.kg_m2,tot.C.kg_m2,tot.N.kg_m2,mean.N.kg_m2.x,Clay,Silt,Sand,Class.x,mean.N.kg_m2.y,Total.basal.area_m2,TreeBM.kg_m2,No.trees_m2,Small.N,Small.N.non,Large.N,Large.N.non,BM.Large.N.m2,BM.Large.non.m2,BM.Small.N.m2,BM.Small.non.m2,N.trees,BM.N.trees.m2,non.N.trees,BM.non.N.trees.m2,climate,fMAP,Shrubbiness,fShrubbiness,CN,Shrubbiness2
46,46,46,Mwantimba,3,4,2,12,-2.370423593,34.06114543,Pasture,2000,0,1295.06,1.14,0.08,9.68,0,9.68,87.40922896,2.8,0.29,3.94,0.37,0.185,26.56,16.18,57.26,SaClLo,0.18,0.0020664,0.012963345,0.0075,5,3,NA,NA,NA,NA,0.018466282,0.011293293,5,0.018466282,3,0.011293293,Wet,672,1.622602862,2,10.64864865,0.004056507
47,47,47,Mwantimba,3,4,3,12,-2.370233587,34.06120824,Pasture,2000,0,1295.06,0.97,0.07,9.68,0,9.68,87.40922896,2.15,0.2,3.12,0.27,0.135,26.56,16.18,57.26,SaClLo,0.18,0.0020664,0.012963345,0.0075,5,3,NA,NA,NA,NA,0.018466282,0.011293293,5,0.018466282,3,0.011293293,Wet,672,1.622602862,2,11.55555556,0.004056507
48,48,48,Mwantimba,3,4,4,12,-2.370342017,34.0613612,Pasture,2000,0,1295.06,1.48,0.1,9.68,0,9.68,87.40922896,2.23,0.2,3.71,0.3,0.15,26.56,16.18,57.26,SaClLo,0.18,0.0020664,0.012963345,0.0075,5,3,NA,NA,NA,NA,0.018466282,0.011293293,5,0.018466282,3,0.011293293,Wet,672,1.622602862,2,12.36666667,0.004056507
49,49,49,Handajega,4,1,1,13,-2.27563426,34.02406238,Wild,2014,3,1279.26,1.42,0.09,0.307692308,2.923076923,3.230769231,116.5456386,1.87,0.17,3.29,0.26,0.13,18.67,16.67,64.67,SaClLo,0.13125,0.034692,0.073481517,0.0016,7,6,3,1,0.336913146,0.018057107,0.002729006,0.002587809,10,0.339642152,7,0.020644915,Wet,717,0.096395416,0,12.65384615,3.86E-05
50,50,50,Handajega,4,1,2,13,-2.275607284,34.02383755,Wild,2014,3,1279.26,1.5,0.11,0.307692308,2.923076923,3.230769231,116.5456386,1.86,0.2,3.36,0.31,0.155,18.67,16.67,64.67,SaClLo,0.13125,0.034692,0.073481517,0.0016,7,6,3,1,0.336913146,0.018057107,0.002729006,0.002587809,10,0.339642152,7,0.020644915,Wet,717,0.096395416,0,10.83870968,3.86E-05
51,51,51,Handajega,4,1,3,13,-2.275616349,34.02381058,Wild,2014,3,1279.26,1.23,0.08,0.307692308,2.923076923,3.230769231,116.5456386,1.5,0.14,2.73,0.22,0.11,18.67,16.67,64.67,SaClLo,0.13125,0.034692,0.073481517,0.0016,7,6,3,1,0.336913146,0.018057107,0.002729006,0.002587809,10,0.339642152,7,0.020644915,Wet,717,0.096395416,0,12.40909091,3.86E-05
52,52,52,Handajega,4,1,4,13,-2.275480586,34.02391839,Wild,2014,3,1279.26,1.06,0.07,0.307692308,2.923076923,3.230769231,116.5456386,1.83,0.19,2.89,0.26,0.13,18.67,16.67,64.67,SaClLo,0.13125,0.034692,0.073481517,0.0016,7,6,3,1,0.336913146,0.018057107,0.002729006,0.002587809,10,0.339642152,7,0.020644915,Wet,717,0.096395416,0,11.11538462,3.86E-05
53,53,53,Handajega,4,2,1,14,-2.281033818,34.02510931,Wild,2014,4,1279.26,1.1,0.08,1.115384615,3.807692308,4.923076923,1748.529253,2.02,0.2,3.12,0.28,0.14,21.49,16.46,62.05,SaClLo,0.15125,0.1092205,0.299701346,0.0016,8,1,1,NA,1.1255836,NA,0.004511073,0.000407527,9,1.130094673,1,0.000407527,Wet,717,2.858271361,3,11.14285714,0.001143309
54,54,54,Handajega,4,2,2,14,-2.281088131,34.02505539,Wild,2014,4,1279.26,1.95,0.12,1.115384615,3.807692308,4.923076923,1748.529253,2.08,0.19,4.03,0.31,0.155,21.49,16.46,62.05,SaClLo,0.15125,0.1092205,0.299701346,0.0016,8,1,1,NA,1.1255836,NA,0.004511073,0.000407527,9,1.130094673,1,0.000407527,Wet,717,2.858271361,3,13,0.001143309
55,55,55,Handajega,4,2,3,14,-2.281205719,34.02506447,Wild,2014,4,1279.26,1.39,0.09,1.115384615,3.807692308,4.923076923,1748.529253,1.97,0.2,3.36,0.29,0.145,21.49,16.46,62.05,SaClLo,0.15125,0.1092205,0.299701346,0.0016,8,1,1,NA,1.1255836,NA,0.004511073,0.000407527,9,1.130094673,1,0.000407527,Wet,717,2.858271361,3,11.5862069,0.001143309
56,56,56,Handajega,4,2,4,14,-2.281042883,34.02508234,Wild,2014,4,1279.26,1.61,0.1,1.115384615,3.807692308,4.923076923,1748.529253,2.59,0.23,4.2,0.33,0.165,21.49,16.46,62.05,SaClLo,0.15125,0.1092205,0.299701346,0.0016,8,1,1,NA,1.1255836,NA,0.004511073,0.000407527,9,1.130094673,1,0.000407527,Wet,717,2.858271361,3,12.72727273,0.001143309
57,57,57,Handajega,4,3,1,15,-2.28045252,34.0284181,Wild,2014,9,1279.26,1.45,0.08,0.461538462,5.269230769,5.730769231,1748.529253,1.96,0.19,3.41,0.27,0.135,21.17,19.17,59.67,SaClLo,0.1425,0.1478292,0.360287067,0.0068,1,1,NA,2,NA,0.072576551,0.000466203,0.000438764,1,0.000466203,3,0.073015314,Wet,717,16.6859983,17,12.62962963,0.006674399
58,58,58,Handajega,4,3,2,15,-2.280579147,34.02843617,Wild,2014,9,1279.26,1.57,0.09,0.461538462,5.269230769,5.730769231,1748.529253,2.71,0.23,4.28,0.32,0.16,21.17,19.17,59.67,SaClLo,0.1425,0.1478292,0.360287067,0.0068,1,1,NA,2,NA,0.072576551,0.000466203,0.000438764,1,0.000466203,3,0.073015314,Wet,717,16.6859983,17,13.375,0.006674399
59,59,59,Handajega,4,3,3,15,-2.280651481,34.02848119,Wild,2014,9,1279.26,1.48,0.09,0.461538462,5.269230769,5.730769231,1748.529253,2.1,0.19,3.58,0.28,0.14,21.17,19.17,59.67,SaClLo,0.1425,0.1478292,0.360287067,0.0068,1,1,NA,2,NA,0.072576551,0.000466203,0.000438764,1,0.000466203,3,0.073015314,Wet,717,16.6859983,17,12.78571429,0.006674399
60,60,60,Handajega,4,3,4,15,-2.280597168,34.0285351,Wild,2014,9,1279.26,1.22,0.07,0.461538462,5.269230769,5.730769231,1748.529253,2.1,0.2,3.32,0.27,0.135,21.17,19.17,59.67,SaClLo,0.1425,0.1478292,0.360287067,0.0068,1,1,NA,2,NA,0.072576551,0.000466203,0.000438764,1,0.000466203,3,0.073015314,Wet,717,16.6859983,17,12.2962963,0.006674399
61,61,61,Handajega,4,4,1,16,-2.281344915,34.03277105,Wild,2016,13,1279.26,1.15,0.08,1,3.923076923,4.923076923,672.4016528,3.02,0.31,4.17,0.39,0.195,24.44,19.99,55.57,SaClLo,0.19,0.3488504,1.1305022,0.004,3,NA,1,NA,0.298048953,NA,0.001652393,NA,4,0.299701346,0,0,Wet,717,6.942169862,7,10.69230769,NA
