"","Block.ID","Region.x","Vilde.block","landuse","MAP.mm_yr","Last.fire_yr","Fire_frequency.2000_2017","Clay.pip.per","Silt.pip.per","Sand.pip.per","Class","mean.N.kg_m2.x","Total.basal.area_m2","TreeBM.kg_m2","No.trees_m2","Shrubbiness","Small.N","Small.N.non","Large.N","Large.N.non","BM.Large.N.m2","BM.Large.non.m2","BM.Small.N.m2","BM.Small.non.m2","Carbon.pool","C.amount","SE.C.amount","mean.N.kg_m2"
"89",11,"Mwantimba",3,"Pasture",1295.06,2000,0,31,26.5,42.5,"ClLo",NA,0.0012935,0.03359985655,0.025,7.34230446367474,8,2,NA,NA,NA,NA,0.0255783452075,0.0080215113425,"DWC.kg_m2",0.0098,0.0076,0.21375
"23",12,"Mwantimba",4,"Pasture",1295.061318,2000,0,26.56,16.18,57.26,"SaClLo",0.18,0.0020664,0.01296334484,0.0075,1.62260286219735,5,3,NA,NA,NA,NA,0.0184662821325,0.0112932931075,"TreeC.kg_m2",0.00648167242,NA,NA
"24",12,"Mwantimba",4,"Pasture",1295.061318,2000,0,26.56,16.18,57.26,"SaClLo",0.18,0.0020664,0.01296334484,0.0075,1.62260286219735,5,3,NA,NA,NA,NA,0.0184662821325,0.0112932931075,"HerbC.kg_m2",0.0208,NA,NA
"90",12,"Mwantimba",4,"Pasture",1295.06,2000,0,26.56,16.18,57.26,"SaClLo",NA,0.0020664,0.01296334484,0.0075,1.62260286219735,5,3,NA,NA,NA,NA,0.0184662821325,0.0112932931075,"SoilAC.kg_m2",1.3525,0.188475241521709,0.18
"91",12,"Mwantimba",4,"Pasture",1295.06,2000,0,26.56,16.18,57.26,"SaClLo",NA,0.0020664,0.01296334484,0.0075,1.62260286219735,5,3,NA,NA,NA,NA,0.0184662821325,0.0112932931075,"SoilMC.kg_m2",2.8125,0.44344061985043,0.18
"92",12,"Mwantimba",4,"Pasture",1295.06,2000,0,26.56,16.18,57.26,"SaClLo",NA,0.0020664,0.01296334484,0.0075,1.62260286219735,5,3,NA,NA,NA,NA,0.0184662821325,0.0112932931075,"DWC.kg_m2",0.00276666666666667,0.000440958551844098,0.18
"25",13,"Handajega",1,"Wild",1279.262855,2014,3,18.67,16.67,64.67,"SaClLo",0.13125,0.034692,0.0734815174216,0.0016,0.0963954158082649,7,6,3,1,0.33691314568,0.018057106516,0.0027290064328,0.0025878086556,"TreeC.kg_m2",0.0367407587092,NA,NA
"26",13,"Handajega",1,"Wild",1279.262855,2014,3,18.67,16.67,64.67,"SaClLo",0.13125,0.034692,0.0734815174216,0.0016,0.0963954158082649,7,6,3,1,0.33691314568,0.018057106516,0.0027290064328,0.0025878086556,"HerbC.kg_m2",0.0403,NA,NA
"93",13,"Handajega",1,"Wild",1279.26,2014,3,18.67,16.67,64.67,"SaClLo",NA,0.034692,0.0734815174216,0.0016,0.0963954158082649,7,6,3,1,0.33691314568,0.018057106516,0.0027290064328,0.0025878086556,"SoilAC.kg_m2",1.3025,0.0986893273527251,0.13125
"94",13,"Handajega",1,"Wild",1279.26,2014,3,18.67,16.67,64.67,"SaClLo",NA,0.034692,0.0734815174216,0.0016,0.0963954158082649,7,6,3,1,0.33691314568,0.018057106516,0.0027290064328,0.0025878086556,"SoilMC.kg_m2",1.765,0.0887411967464943,0.13125
"95",13,"Handajega",1,"Wild",1279.26,2014,3,18.67,16.67,64.67,"SaClLo",NA,0.034692,0.0734815174216,0.0016,0.0963954158082649,7,6,3,1,0.33691314568,0.018057106516,0.0027290064328,0.0025878086556,"DWC.kg_m2",0.0541333333333333,0.0524835318086646,0.13125
"27",14,"Handajega",2,"Wild",1279.262855,2014,4,21.49,16.46,62.05,"SaClLo",0.15125,0.1092205,0.2997013458724,0.0016,2.85827136086236,8,1,1,NA,1.1255836,NA,0.0045110726772,0.00040752731,"TreeC.kg_m2",0.1498506729364,NA,NA
"28",14,"Handajega",2,"Wild",1279.262855,2014,4,21.49,16.46,62.05,"SaClLo",0.15125,0.1092205,0.2997013458724,0.0016,2.85827136086236,8,1,1,NA,1.1255836,NA,0.0045110726772,0.00040752731,"HerbC.kg_m2",0.0583,NA,NA
