site,plot,area,landuse,Stu_block,Block,sub_vs_inter,n_vs_non.N,excl_vs_open,wp,soil_ depth.cm,soil_wet_wt.g,soil_dry_wt.g,soil_water_content.g,core_vol.cm3,bulk_density_cm3,Soil.sub.sample.g,Oven.dry.sub.g,Soil.moist.per,If 1 - need soil,if 1 have roots,Stone.plus.bag.g,Bag.wt.g,Stone.wt.g,Volume.cm3,core_vol.cm3stones.adj,bulk_density_g.cm3,Roots.mg.g1soil,,Bulk.kg.m3,Roots kg.kg,Roots.kg.m2,
21,122,Mwantimba,pasture,1,1,S,N,Open,385,10.4,223.36,218.86,4.5,144.086,1.519,14.129,13.123,7.12010758,0,0,4.76,0.72,4.04,1,143.086,1.392427858,,0,208.8641788,0,0, 708.12 
21,123,Mwantimba,pasture,1,1,S,non,Excl,386,11.2,226.44,222.83,3.61,155.17,1.436,19.108,18.306,4.197194892,0,1,8.99,0.74,8.25,4,151.17,1.357593376,6.55404022,1,203.6390064,0.00655404,1.334658238," 3,424.01 "
21,124,Mwantimba,pasture,1,1,S,non,Open,387,10.8,270.86,268,2.86,149.628,1.791,17.434,16.741,3.974991396,0,1,16.08,0.73,15.35,6,143.628,1.684887508,4.724285165,1,252.7331263,0.004724285,1.193983359,
21,125,Mwantimba,pasture,1,1,I,,Excl,383,11.5,176.85,173.73,3.12,159.326,1.09,20.414,19.531,4.325462918,0,1,2.74,0,2.74,1,158.326,1.032523864,3.446908115,1,154.8785796,0.003446908,0.533852233," 7,129.55 "
21,126,Mwantimba,pasture,1,1,I,,Open,388,11.5,247.27,244.61,2.66,159.326,1.535,16.851,15.919,5.530829031,0,1,2.94,0,2.94,2,157.326,1.450116568,10.12959637,1,217.5174851,0.010129596,2.203364327," 12,995.47 "
22,127,Mwantimba,pasture,2,4,S,N,Excl,484,10.4,175.46,170.45,5.01,144.086,1.183,17.676,16.832,4.774835936,0,1,3.2,0,3.2,2,142.086,1.119823854,0.266294288,1,167.9735781,0.000266294,0.044730404,
22,128,Mwantimba,pasture,2,4,S,N,Open,485,14,234.36,227.68,6.68,193.962,1.174,16.441,14.813,9.902074083,0,1,4.07,0,4.07,2,191.962,1.047420623,8.185659865,1,157.1130935,0.00818566,1.286074344,
22,129,Mwantimba,pasture,2,4,S,non,Excl,486,10.1,231.8,226.31,5.49,139.93,1.617,20.579,19.741,4.072112348,0,1,1.9,0,1.9,1,138.93,1.548941212,0.356286771,1,232.3411818,0.000356287,0.082780089,
22,130,Mwantimba,pasture,2,4,S,non,Open,487,12.9,223.08,219.81,3.27,178.722,1.23,17.98,17.207,4.299221357,0,1,3.53,0,3.53,2,176.722,1.17036861,0.373142329,1,175.5552915,0.000373142,0.06550711,
22,131,Mwantimba,pasture,2,4,I,,Excl,488,12.3,226.26,222.58,3.68,170.409,1.306,21.431,20.275,5.39405534,0,1,7.48,0.71,6.77,2,168.409,1.210172328,0.497686937,1,181.5258492,0.000497687,0.090343044,
