ID,Region, Site,Block,Block.ID, Circle,WP,Date_time ,Latitude_S,Longitude_E,Debris_type,Length.cm,Diameter.cm,Volume.cm3,Mass.g,Mass.kg,Carbon.g,Carbon.kg,Carbon.kg_m2,dc,,,
57,Maswa,2,4,8,1,17,11/12/2017 09:54,3 17.802,34 51.267,FDW,27.90,2.50,136.88,35.5899,0.0356,17.7950,0.0178,0.0009,4.00,,,
58,Maswa,2,4,8,1,17,11/12/2017 09:54,3 17.802,34 51.267,FDW,82.80,2.10,286.64,166.2519,0.1663,83.1259,0.0831,0.0042,2.00,,,
58,Maswa,2,4,8,1,17,11/12/2017 09:54,3 17.802,34 51.267,FDW,34.10,1.00,26.77,6.9598,0.0070,3.4799,0.0035,0.0002,3.00,,,
59,Maswa,2,4,8,2,18,11/12/2017 10:07,3 17.795,34 51.259,FDW,13.60,3.10,102.60,16.4154,0.0164,8.2077,0.0082,0.0004,5.00,,,
61,Maswa,2,4,8,3,19,11/12/2017 10:21,3 17.807,34 51.259,FDW,13.10,1.60,26.33,6.8447,0.0068,3.4223,0.0034,0.0002,4.00,,,
62,Maswa,2,4,8,3,19,11/12/2017 10:21,3 17.807,34 51.259,FDW,100.30,2.10,347.22,201.3897,0.2014,100.6948,0.1007,0.0051,2.00,,,
64,Maswa,2,4,8,4,20,11/12/2017 10:33,3 17.800,34 51.257,FDW,,,,,,,,,,,,
65,Mwantimba,3,1,9,1,32,13/12/2017 09:29,2 21.014,34 02.978,FDW,,,,,,,,,,,,
68,Mwantimba,3,1,9,2,33,13/12/2017 09:52,2 21.029,34 02.977,FDW,,,,,,,,,,,,
69,Mwantimba,3,1,9,3,34,13/12/2017 09:54,2 21.022,34 02.983,FDW,,,,,,,,,,,,
72,Mwantimba,3,1,9,4,35,13/12/2017 10:03,2 21.023,34 02.978,FDW,,,,,,,,,,,,
73,Mwantimba,3,2,10,1,36,13/12/2017 10:40,2 20.911,34 03.005,FDW,,,,,,,,,,,,
76,Mwantimba,3,2,10,2,37,13/12/2017 10:55,2 20.927,34 02.999,FDW,,,,,,,,,,,,
77,Mwantimba,3,2,10,3,38,13/12/2017 11:07,2 20.923,34 03.006,FDW,,,,,,,,,,,,
80,Mwantimba,3,2,10,4,39,13/12/2017 11:22,2 20.919,34 03.007,FDW,,,,,,,,,,,,
81,Mwantimba,3,3,11,1,45,13/12/2017 13:50,2 22.061,34 03.572,FDW,,,,,,,,,,,,
84,Mwantimba,3,3,11,2,46,13/12/2017 14:05,2 22.063,34 03.560,FDW,,,,,,,,,,,,
