number,Latitude,Longitude,area,rain.region,landuse,block,date,area.m2,ind.no,species,N.non,tree.part,entity,circum.cm,dbh.cm,base.di.raw,base.di.cm,height.cm,age,condition,dbh.kg.per.tree,basal.diamter,basal.diamter,total.basal.area.m2,Biomass.kg.per.tree,Biomass.kg.per.treePhilipo,Carbon.kg.per.tree,References,Fire.freq,Year.of.last.fire,annual.precip.mm2015_2017,precip.mm2017,precip.mm2016
501,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,25,Commiphora africana,non,trunk,live,,0,1.2,1.2,57,young,good,0,2.036450843,1.420721944,0.0001131,1.420721944,1.420721944,0.710360972,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
502,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,26,Commiphora africana,non,trunk,live,,0,0.85,0.85,38,young,good,0,1.592875236,1.254940332,0.0000567,1.254940332,1.254940332,0.627470166,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
503,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,27,Acacia gerrardii,N,trunk,live,,0,2.45,2.45,94,young,good,0,3.188238031,1.780516226,0.0004714,1.780516226,1.780516226,0.890258113,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
504,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,28,Acacia seyal,N,trunk,live,,0,1.1,1.1,35,young,good,0,1.917359603,1.378172559,0.000095,1.378172559,1.378172559,0.68908628,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
505,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,29,Acacia seyal,N,trunk,live,,0,2.1,2.1,64,young,good,0,2.914389405,1.701878199,0.0003464,1.701878199,1.701878199,0.8509391,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
506,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,30,Acacia seyal,N,trunk,live,,0,0.4,0.4,38,young,good,0,0.879368926,0.928099631,0.0000126,0.928099631,0.928099631,0.464049816,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
507,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,31,Commiphora trothae,non,trunk,live,,0,1.4,1.4,48,young,good,0,2.259199968,1.497063782,0.0001539,1.497063782,1.497063782,0.748531891,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
508,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,32,Acacia gerrardii,N,trunk,live,,0,0.5,0.5,38,young,good,0,1.055990677,1.018818275,0.0000196,1.018818275,1.018818275,0.509409137,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
509,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,33,Acacia gerrardii,N,trunk,live,,0,2.1,2.1,80,young,good,0,2.914389405,1.701878199,0.0003464,1.701878199,1.701878199,0.8509391,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
510,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,34,Commiphora trothae,non,trunk,live,,0,2.1,2.1,72,young,good,0,2.914389405,1.701878199,0.0003464,1.701878199,1.701878199,0.8509391,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
511,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,35,Acacia gerrardii,N,trunk,live,,0,1.2,1.2,49,young,good,0,2.036450843,1.420721944,0.0001131,1.420721944,1.420721944,0.710360972,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
512,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,36,Acacia gerrardii,N,trunk,live,,0,3.15,3.15,138,young,good,0,3.661157336,1.90870567,0.0007793,1.90870567,1.90870567,0.954352835,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
513,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,37,Acacia gerrardii,N,trunk,live,,0,2.7,2.7,111,young,good,0,3.367332018,1.830118034,0.0005726,1.830118034,1.830118034,0.915059017,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
514,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,38,Rhus natalensis,non,trunk,live,,0,1.5,1.5,79,young,good,0,2.363704274,1.531569219,0.0001767,1.531569219,1.531569219,0.76578461,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
515,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,39,Acacia gerrardii,N,trunk,live,,0,2.7,2.7,110,young,good,0,3.367332018,1.830118034,0.0005726,1.830118034,1.830118034,0.915059017,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
516,-2.016259013,34.66320198,Ikorongo,Intermediate,wild,2,17.12.2017,2500,40,Acacia gerrardii,N,trunk,live,,0,0.7,0.7,29,young,good,0,1.376408323,1.165507753,0.0000385,1.165507753,1.165507753,0.582753877,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
517,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,1,Acacia gerrardii,N,trunk,live,16,5.092958179,,0,0,young,good,7.819358409,0.018,0,0.0020372,7.819358409,3.988179603,3.909679204,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
518,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,1,Acacia gerrardii,N,trunk,live,16.1,5.124789168,,0,0,young,good,7.931744172,0.018,0,0.0020627,7.931744172,4.052125185,3.965872086,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
519,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,2,Acacia gerrardii,N,trunk,live,15,4.774648293,,0,0,young,good,6.744878509,0.018,0,0.0017905,6.744878509,3.382340896,3.372439255,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
520,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,2,Acacia gerrardii,N,trunk,live,15.2,4.83831027,,0,0,young,good,6.952632361,0.018,0,0.0018386,6.952632361,3.498670735,3.47631618,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
521,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,3,Acacia tortilis,N,trunk,live,18,5.729577951,,0,0,young,top grazed by elephant,10.24072862,0.018,0,0.0025783,10.24072862,5.387249604,5.120364309,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
522,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,3,Acacia tortilis,N,trunk,live,18.1,5.76140894,,0,0,young,top grazed by elephant,10.37150353,0.018,0,0.002607,10.37150353,5.463988719,5.185751766,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
523,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,4,Acacia gerrardii,N,trunk,live,10,3.183098862,,0,0,young,good,2.664739206,0.018,0,0.0007958,2.664739206,1.201313596,1.332369603,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
524,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,4,Acacia gerrardii,N,trunk,dead,,0,,0,0,young,killed by elephant,0,0.018,0,0,0,0,0,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
525,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,5,Acacia gerrardii,N,trunk,live,8.2,2.610141067,,0,0,young,good,1.691429727,0.018,0,0.0005351,1.691429727,0.723807631,0.845714864,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
526,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,5,Acacia gerrardii,N,trunk,live,8.4,2.673803044,,0,0,young,good,1.787409198,0.018,0,0.0005615,1.787409198,0.769735311,0.893704599,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
527,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,6,Acacia gerrardii,N,trunk,live,9,2.864788976,,0,0,young,good,2.093397761,0.018,0,0.0006446,2.093397761,0.917989088,1.04669888,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
528,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,6,Acacia gerrardii,N,trunk,live,9.35,2.976197436,,0,0,young,good,2.284555038,0.018,0,0.0006957,2.284555038,1.011901955,1.142277519,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
529,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,7,Acacia tortilis,N,trunk,live,10,3.183098862,,0,0,young,good,2.664739206,0.018,0,0.0007958,2.664739206,1.201313596,1.332369603,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
530,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,7,Acacia tortilis,N,trunk,live,10.4,3.310422816,,0,0,young,good,2.915196756,0.018,0,0.0008607,2.915196756,1.327830095,1.457598378,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
531,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,8,Commiphora africana,non,trunk,live,13,4.13802852,,0,0,young,good,4.859936176,0.018,0,0.0013449,4.859936176,2.347219858,2.429968088,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
532,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,8,Commiphora africana,non,trunk,live,13,4.13802852,,0,0,young,good,4.859936176,0.018,0,0.0013449,4.859936176,2.347219858,2.429968088,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
533,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,9,Acacia gerrardii,N,trunk,live,10.1,3.21492985,,0,0,young,good,2.726166559,0.018,0,0.0008118,2.726166559,1.23222172,1.36308328,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
534,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,9,Acacia gerrardii,N,trunk,dead,,0,,0,0,young,killed by elephant,0,0.018,0,0,0,0,0,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
535,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,10,Acacia gerrardii,N,trunk,live,5.8,1.84619734,,0,0,young,good,0.76526207,0.018,0,0.0002677,0.76526207,0.299011616,0.382631035,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
536,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,10,Acacia gerrardii,N,trunk,live,6.2,1.973521294,,0,0,young,good,0.891556021,0.018,0,0.0003059,0.891556021,0.354513172,0.445778011,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
537,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,11,Acacia gerrardii,N,trunk,live,10,3.183098862,,0,0,young,good,2.664739206,0.018,0,0.0007958,2.664739206,1.201313596,1.332369603,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
538,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,11,Acacia gerrardii,N,trunk,live,10.1,3.21492985,,0,0,young,good,2.726166559,0.018,0,0.0008118,2.726166559,1.23222172,1.36308328,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
539,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,12,Acacia gerrardii,N,trunk,live,9,2.864788976,,0,0,young,good,2.093397761,0.018,0,0.0006446,2.093397761,0.917989088,1.04669888,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
540,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,12,Acacia gerrardii,N,trunk,live,9.2,2.928450953,,0,0,young,good,2.201478008,0.018,0,0.0006735,2.201478008,0.970972021,1.100739004,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
541,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,13,Acacia gerrardii,N,trunk,live,8.3,2.641972055,,0,0,young,good,1.739046419,0.018,0,0.0005482,1.739046419,0.746556639,0.86952321,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
542,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,13,Acacia gerrardii,N,trunk,live,8.9,2.832957987,,0,0,young,good,2.040504622,0.018,0,0.0006303,2.040504622,0.892173007,1.020252311,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
543,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,14,Acacia gerrardii,N,trunk,live,10.7,3.405915782,,0,0,young,top grazed,3.111396194,0.018,0,0.0009111,3.111396194,1.427819066,1.555698097,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
544,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,14,Acacia gerrardii,N,trunk,live,11.2,3.565070725,,0,0,young,top grazed,3.45448786,0.018,0,0.0009982,3.45448786,1.604390214,1.72724393,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
545,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,15,Acacia tortilis,N,trunk,live,31.2,9.931268449,,0,0,middle,good,36.09660806,0.018,0,0.0077464,36.09660806,21.93982054,18.04830403,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
546,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,15,Acacia tortilis,N,trunk,live,31.2,9.931268449,,0,0,middle,good,36.09660806,0.018,0,0.0077464,36.09660806,21.93982054,18.04830403,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
547,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,16,Acacia gerrardii,N,trunk,live,11,3.501408748,,0,0,young,good,3.31482433,0.018,0,0.0009629,3.31482433,1.532258071,1.657412165,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
548,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,16,Acacia gerrardii,N,trunk,live,11.4,3.628732702,,0,0,young,good,3.597407065,0.018,0,0.0010342,3.597407065,1.678550755,1.798703532,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
549,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,17,Acacia gerrardii,N,trunk,live,72,22.91831181,,0,0,mature,good,245.0693853,0.018,0,0.0412531,245.0693853,185.5351739,122.5346927,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
550,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,17,Acacia gerrardii,N,trunk,live,72,22.91831181,,0,0,mature,good,245.0693853,0.018,0,0.0412531,245.0693853,185.5351739,122.5346927,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
551,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,18,Cordia africana,non,trunk,live,47,14.96056465,,0,0,mature,good,92.26301563,0.018,0,0.0175787,92.26301563,62.44853056,46.13150782,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
552,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,18,Cordia africana,non,trunk,live,47,14.96056465,,0,0,mature,good,92.26301563,0.018,0,0.0175787,92.26301563,62.44853056,46.13150782,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
553,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,19,Acacia tortilis,N,trunk,live,13,4.13802852,,0,0,young,good,4.859936176,0.018,0,0.0013449,4.859936176,2.347219858,2.429968088,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
554,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,19,Acacia tortilis,N,trunk,dead,,0,,0,0,young,killed by elephant,0,0.018,0,0,0,0,0,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
555,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,20,Cordia africana,non,trunk,live,48,15.27887454,,0,0,mature,good,96.82101737,0.018,0,0.0183347,96.82101737,65.89694353,48.41050868,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
556,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,20,Cordia africana,non,trunk,live,48,15.27887454,,0,0,mature,good,96.82101737,0.018,0,0.0183347,96.82101737,65.89694353,48.41050868,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
557,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,21,Commiphora africana,non,trunk,live,8.7,2.76929601,,0,0,young,good,1.936999943,0.018,0,0.0006023,1.936999943,0.841877774,0.968499971,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
558,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,21,Commiphora africana,non,trunk,live,9.1,2.896619964,,0,0,young,good,2.147054738,0.018,0,0.000659,2.147054738,0.944254508,1.073527369,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
559,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,22,Commiphora africana,non,trunk,live,27.2,8.658028904,,0,0,middle,good,26.36278753,0.018,0,0.0058875,26.36278753,15.45648741,13.18139377,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
560,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,22,Commiphora africana,non,trunk,live,27.4,8.721690881,,0,0,middle,good,26.80887568,0.018,0,0.0059744,26.80887568,15.74829637,13.40443784,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
561,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,07.05.2017,2500,23,Commiphora africana,non,trunk,live,38,12.09577567,,0,0,middle,good,56.70104479,0.018,0,0.011491,56.70104479,36.29475879,28.35052239,Lugana. 2015,10,2013,1134.810804,1021.567122,1120.036641
562,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,24,Commiphora africana,non,trunk,live,38,12.09577567,,0,0,middle,good,56.70104479,0.018,0,0.011491,56.70104479,36.29475879,28.35052239,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
563,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,25,Commiphora africana,non,trunk,live,,0,0.6,0.6,26,young,good,0,1.221209291,1.096908971,0.0000283,1.096908971,1.096908971,0.548454486,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
564,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,26,Commiphora africana,non,trunk,live,,0,0.35,0.35,27,young,good,0,0.786267757,0.876508846,0.0000096,0.876508846,0.876508846,0.438254423,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
565,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,27,Commiphora africana,non,trunk,live,,0,0.25,0.25,15,young,good,0,0.589247491,0.755809163,0.0000049,0.755809163,0.755809163,0.377904582,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
566,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,28,Acacia seyal,N,trunk,live,,0,1.9,1.9,59,young,good,0,2.743659487,1.650957143,0.0002835,1.650957143,1.650957143,0.825478571,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
567,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,29,Acacia seyal,N,trunk,live,,0,2.6,2.6,98,young,good,0,3.297190644,1.810853568,0.0005309,1.810853568,1.810853568,0.905426784,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
568,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,30,Acacia seyal,N,trunk,live,,0,0.5,0.5,61,young,good,0,1.055990677,1.018818275,0.0000196,1.018818275,1.018818275,0.509409137,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
569,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,31,Commiphora africana,non,trunk,live,,0,0.35,0.35,35,young,good,0,0.786267757,0.876508846,0.0000096,0.876508846,0.876508846,0.438254423,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
570,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,32,Acacia seyal,N,trunk,live,,0,2.6,2.6,85,young,good,0,3.297190644,1.810853568,0.0005309,1.810853568,1.810853568,0.905426784,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
571,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,33,Acacia seyal,N,trunk,live,,0,2.6,2.6,85,young,good,0,3.297190644,1.810853568,0.0005309,1.810853568,1.810853568,0.905426784,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
572,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,34,Acacia robusta,N,trunk,live,,0,4.1,4.1,169,young,good,0,4.188855782,2.042267314,0.0013203,2.042267314,2.042267314,1.021133657,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
573,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,35,Grewia bicolor,non,trunk,live,,0,1.9,1.9,119,young,good,0,2.743659487,1.650957143,0.0002835,1.650957143,1.650957143,0.825478571,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
574,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,36,Grewia bicolor,non,trunk,live,,0,1,1,87,young,good,0,1.792456782,1.332087378,0.0000785,1.332087378,1.332087378,0.666043689,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
575,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,37,Grewia bicolor,non,trunk,live,,0,0.8,0.8,68,young,good,0,1.522733862,1.22667594,0.0000503,1.22667594,1.22667594,0.61333797,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
576,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,38,Grewia bicolor,non,trunk,live,,0,1.2,1.2,98,young,good,0,2.036450843,1.420721944,0.0001131,1.420721944,1.420721944,0.710360972,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
577,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,39,Grewia bicolor,non,trunk,live,,0,1.4,1.4,112,young,good,0,2.259199968,1.497063782,0.0001539,1.497063782,1.497063782,0.748531891,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
578,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,40,Grewia bicolor,non,trunk,live,,0,0.9,0.9,67,young,good,0,1.661145949,1.281852546,0.0000636,1.281852546,1.281852546,0.640926273,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
579,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,41,Grewia bicolor,non,trunk,live,,0,0.55,0.55,54,young,good,0,1.139932623,1.05921321,0.0000238,1.05921321,1.05921321,0.529606605,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
580,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,42,Grewia bicolor,non,trunk,live,,0,0.6,0.6,63,young,good,0,1.221209291,1.096908971,0.0000283,1.096908971,1.096908971,0.548454486,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
581,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,43,Grewia bicolor,non,trunk,live,,0,1.1,1.1,78,young,good,0,1.917359603,1.378172559,0.000095,1.378172559,1.378172559,0.68908628,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
582,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,44,Grewia bicolor,non,trunk,live,,0,1.6,1.6,98,young,good,0,2.464109299,1.564004252,0.0002011,1.564004252,1.564004252,0.782002126,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
583,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,45,Grewia bicolor,non,trunk,live,,0,1.2,1.2,159,young,good,0,2.036450843,1.420721944,0.0001131,1.420721944,1.420721944,0.710360972,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
584,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,46,Grewia bicolor,non,trunk,live,,0,1.9,1.9,142,young,good,0,2.743659487,1.650957143,0.0002835,1.650957143,1.650957143,0.825478571,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
585,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,47,Grewia bicolor,non,trunk,live,,0,1.85,1.85,135,young,good,0,2.699136625,1.63741767,0.0002688,1.63741767,1.63741767,0.818708835,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
586,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,48,Grewia bicolor,non,trunk,live,,0,1,1,124,young,good,0,1.792456782,1.332087378,0.0000785,1.332087378,1.332087378,0.666043689,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
587,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,49,Grewia bicolor,non,trunk,live,,0,0.5,0.5,56,young,good,0,1.055990677,1.018818275,0.0000196,1.018818275,1.018818275,0.509409137,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
588,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,50,Grewia bicolor,non,trunk,live,,0,0.55,0.55,78,young,good,0,1.139932623,1.05921321,0.0000238,1.05921321,1.05921321,0.529606605,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
589,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,51,Grewia bicolor,non,trunk,live,,0,1.1,1.1,112,young,good,0,1.917359603,1.378172559,0.000095,1.378172559,1.378172559,0.68908628,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
590,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,52,Grewia bicolor,non,trunk,live,,0,0.8,0.8,56,young,good,0,1.522733862,1.22667594,0.0000503,1.22667594,1.22667594,0.61333797,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
591,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,53,Grewia bicolor,non,trunk,live,,0,0.6,0.6,45,young,good,0,1.221209291,1.096908971,0.0000283,1.096908971,1.096908971,0.548454486,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
592,-2.019805983,34.66064097,Ikorongo,Intermediate,wild,3,17.12.2017,2500,54,Grewia bicolor,non,trunk,live,,0,0.25,0.25,23,young,good,0,0.589247491,0.755809163,0.0000049,0.755809163,0.755809163,0.377904582,Chamshama et al. 2004,10,2013,1134.810804,1021.567122,1120.036641
