plot.id,block.id.harvest,site.id,block.id,site.name,region,landuse,block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,rain.sum,target.sp.,pasture.disc.setup,height. setup,target.sp.cover.setup,total.veg.cover.setup,pasture.disc.harvest,height.harvest,target.sp.cover.harvest,total.veg.cover.harvest,pre.biomass.target.sp.g,pre.biomass.total.g,biomass.target.sp.,biomass.other.sp.,biomass.total.g,productivity.target.g.m2.day,consumption.target.g.m2.day,productivity.total.g.m2.day,consumption.total.g.m2.day,consumption.per
DRY_W_4_OP_H2,DRY_W_4_H2,DRY_W,DRY_W_4,Maswa,DRY,W,4,OP,H2,1000,-3.296013,34.854327,3/25/2017,11/05/2017,47,132.71,Cyn.dac,1.5,,8,55,1.7,3.2,15,25,8.39,26.21,5.41,10.83,16.24,-0.18,,-0.59,,
DRY_P_1_EX_H2,DRY_P_1_H2,DRY_P,DRY_P_1,Makao,DRY,P,1,EX,H2,1009,-3.303212,34.847736,3/26/2017,09/05/2017,44,90.82,Chl.pyc,4,7.1,11,60,4,15.6,25,85,3.06,109.68,24.77,48.16,72.93,1.06,0.09,1.12,2.6,-231.0228571
DRY_P_1_OP_H2,DRY_P_1_H2,DRY_P,DRY_P_1,Makao,DRY,P,1,OP,H2,1009,-3.303212,34.847736,3/26/2017,09/05/2017,44,90.82,Chl.pyc,1.8,7.9,30,70,1.5,8.8,65,75,8.04,55.12,23.31,8.38,31.69,0.96,,-1.48,,
DRY_P_2_EX_H2,DRY_P_2_H2,DRY_P,DRY_P_2,Makao,DRY,P,2,EX,H2,1006,-3.408426,34.850244,3/26/2017,09/05/2017,44,90.82,Chl.pyc,1.1,1.1,15,28,1.5,11.2,25,55,20.78,54.11,14.68,14.99,29.67,0.73,0.85,-0.8,0.83,102.95
DRY_P_2_OP_H2,DRY_P_2_H2,DRY_P,DRY_P_2,Makao,DRY,P,2,OP,H2,1006,-3.408426,34.850244,3/26/2017,09/05/2017,44,90.82,Chl.pyc,1.5,2.6,10,40,1.5,6.6,15,35,3.13,42.34,1.18,15.35,16.53,-0.12,,-1.63,,
DRY_P_3_EX_H2,DRY_P_3_H2,DRY_P,DRY_P_3,Makao,DRY,P,3,EX,H2,1001,-3.406316,34.850407,3/26/2017,09/05/2017,44,90.82,Chl.pyc,1.8,2.2,25,35,2,14.2,40,55,,,13.47,14.2,27.67,0.75,0.38,-1.62,-0.76,-48.53358025
DRY_P_3_OP_H2,DRY_P_3_H2,DRY_P,DRY_P_3,Makao,DRY,P,3,OP,H2,1001,-3.406316,34.850407,3/26/2017,09/05/2017,44,90.82,Chl.pyc,1.2,3.5,15,50,2.5,14.1,15,70,1.61,53.37,7.41,32.37,39.78,0.37,,-0.86,,
DRY_P_4_EX_H2,DRY_P_4_H2,DRY_P,DRY_P_4,Makao,DRY,P,4,EX,H2,1003,-3.406853,34.8516,3/26/2017,09/05/2017,44,90.82,Chl.pyc,1.3,4.5,7,35,1,6.1,10,40,9.01,56.21,5.69,21.03,26.72,0.23,-0.66,-0.65,-1.32,-203.7269231
DRY_P_4_OP_H2,DRY_P_4_H2,DRY_P,DRY_P_4,Makao,DRY,P,4,OP,H2,1003,-3.406853,34.8516,3/26/2017,09/05/2017,44,90.82,Chl.pyc,1.2,3.7,15,60,2,12.4,40,75,2.04,36.96,16.16,31.39,47.55,0.89,,0.67,,
SE_1_EX_H2,SE_1_H2,SE,SE_1,Seronera,SE,W,1,EX,H2,1023,-2.437747,34.855162,3/18/2017,17/05/2017,60,136.42,Dig.mac,5,4.5,15,50,5.8,35.6,25,60,5.02,41.36,20.74,44.89,65.63,0.51,0.61,1,-0.04,5
SE_1_EX2_H2,SE_1_H2,SE,SE_1,Seronera,SE,W,1,EX2,H2,1023,-2.437747,34.855162,3/18/2017,17/05/2017,60,136.42,Dig.mac,4.5,2.5,7,45,4.5,21.5,15,50,3.18,50.21,9.19,39.75,48.94,-0.02,0.07,0.23,-0.81,352.403913
SE_1_OP_H2,SE_1_H2,SE,SE_1,Seronera,SE,W,1,OP,H2,1023,-2.437747,34.855162,3/18/2017,17/05/2017,60,136.42,Dig.mac,5.1,10.9,8,55,4.7,20.4,15,75,9.72,43.93,7.67,58.87,66.54,-0.09,,1.05,,
SE_2_EX_H2,SE_2_H2,SE,SE_2,Seronera,SE,W,2,EX,H2,1025,-2.437766,34.855394,3/18/2017,17/05/2017,60,136.42,Dig.mac,5.4,,25,75,8,23.4,30,85,4.68,41.51,32.45,53.54,85.99,1.16,,2.43,3.51,-142.0144444
SE_2_EX2_H2,SE_2_H2,SE,SE_2,Seronera,SE,W,2,EX2,H2,1025,-2.437766,34.855394,3/18/2017,17/05/2017,60,136.42,Dig.mac,4.5,8.9,10,65,5.6,32,10,55,7.25,23.44,5.81,56.07,61.88,-0.08,,1.31,2.4,-181.8961069
SE_2_OP_H2,SE_2_H2,SE,SE_2,Seronera,SE,W,2,OP,H2,1025,-2.437766,34.855394,3/18/2017,17/05/2017,60,136.42,Dig.mac,3,6.5,7,55,2.2,11.8,8,25,7.5,33.52,,10.14,10.14,,,-1.08,,
SE_3_EX_H2,SE_3_H2,SE,SE_3,Seronera,SE,W,3,EX,H2,1027,-2.437991,34.855418,3/18/2017,17/05/2017,60,136.42,Dig.mac,4.5,6.7,10,50,5.7,28.4,20,65,16.94,63.15,7.99,43.38,51.37,0.08,-0.63,0.56,-0.15,27.34571429
SE_3_EX2_H2,SE_3_H2,SE,SE_3,Seronera,SE,W,3,EX2,H2,1027,-2.437991,34.855418,3/18/2017,17/05/2017,60,136.42,Dig.mac,5.1,7.8,15,50,3.6,24.6,10,70,9.12,40.08,5.26,58.58,63.84,-0.05,-0.75,1.14,0.43,-36.57929825
SE_3_OP_H2,SE_3_H2,SE,SE_3,Seronera,SE,W,3,OP,H2,1027,-2.437991,34.855418,3/18/2017,17/05/2017,60,136.42,Dig.mac,3.9,7.7,15,45,4.5,22.4,20,55,6.31,39.28,21.55,33.02,54.57,0.71,,0.71,,
SE_4_EX_H2,SE_4_H2,SE,SE_4,Seronera,SE,W,4,EX,H2,1026,-2.438079,34.854989,3/18/2017,17/05/2017,60,136.42,Dig.mac,4,10.1,6,50,5.5,24.4,20,60,9.73,51.9,8.14,53.85,61.99,-0.04,0.15,1.18,0.58,-47.97254237
SE_4_EX2_H2,SE_4_H2,SE,SE_4,Seronera,SE,W,4,EX2,H2,1026,-2.438079,34.854989,3/18/2017,17/05/2017,60,136.42,Dig.mac,5.3,7,25,65,10.5,28,25,85,26.28,60.69,21.61,66.91,88.52,0.58,0.78,2.41,1.81,-72.69373444
SE_4_OP_H2,SE_4_H2,SE,SE_4,Seronera,SE,W,4,OP,H2,1026,-2.438079,34.854989,3/18/2017,17/05/2017,60,136.42,Dig.mac,3,6,4,45,5,20.4,10,60,9.08,36.49,4.87,44.62,49.49,-0.19,,0.6,,
WET_W_1_EX_H3,WET_W_1_H3,WET_W,WET_W_1,Handajega,WET,W,1,EX,H3,954,-2.272484,34.023326,5/13/2017,24/07/2017,72,95.97,The.tri,1.5,7.4,5,25,1.6,7.2,5,17,2.22,25.71,8.41,14.08,22.49,-0.23,0.2,-1.04,0.12,10.49846154
WET_W_1_OP_H3,WET_W_1_H3,WET_W,WET_W_1,Handajega,WET,W,1,OP,H3,954,-2.272484,34.023326,5/13/2017,24/07/2017,72,95.97,The.tri,4,12.2,12,35,2,6.8,8,25,14.3,49.57,3.2,16.13,19.33,-0.43,,-1.17,,
WET_W_2_EX_H3,WET_W_2_H3,WET_W,WET_W_2,Handajega,WET,W,2,EX,H3,953,-2.2783,34.024459,5/13/2017,24/07/2017,72,95.97,The.tri,3,25.4,40,70,2,4.2,10,27,14.86,52.69,7.67,23.28,30.95,,0.13,0.69,0.56,-80.46942029
WET_W_2_OP_H3,WET_W_2_H3,WET_W,WET_W_2,Handajega,WET,W,2,OP,H3,953,-2.2783,34.024459,5/13/2017,24/07/2017,72,95.97,The.tri,2.5,13.2,25,55,1.5,10.2,8,25,,12.97,4.27,12.18,16.45,,,0.13,,
WET_W_3_EX_H3,WET_W_3_H3,WET_W,WET_W_3,Handajega,WET,W,3,EX,H3,951,-2.277999,34.027678,5/13/2017,24/07/2017,72,95.97,The.tri,2.2,21,25,60,3,21,35,65,63.96,81.04,21.13,20.08,41.21,,0.49,0.92,0.86,-92.55826087
WET_W_3_OP_H3,WET_W_3_H3,WET_W,WET_W_3,Handajega,WET,W,3,OP,H3,951,-2.277999,34.027678,5/13/2017,24/07/2017,72,95.97,The.tri,3.4,14.8,25,50,2.5,6.8,7,30,,17.26,8.35,10.58,18.93,,,0.06,,
WET_W_4_EX_H3,WET_W_4_H3,WET_W,WET_W_4,Handajega,WET,W,4,EX,H3,950,-2.278837,34.031884,5/13/2017,24/07/2017,72,95.97,The.tri,4,10.8,15,35,3,9,20,45,9.28,33.72,26.72,4.92,31.64,0.76,0.58,0.24,-0.38,158.5733333
WET_W_4_OP_H3,WET_W_4_H3,WET_W,WET_W_4,Handajega,WET,W,4,OP,H3,950,-2.278837,34.031884,5/13/2017,24/07/2017,72,95.97,The.tri,3.2,22.2,20,55,2,2.6,13,27,7.11,25.49,11.58,29.9,41.48,0.17,,0.62,,
WET_P_1_EX_H3,WET_P_1_H3,WET_P,WET_P_1,Mwantimba,WET,P,1,EX,H3,957,-2.350052,34.049976,5/14/2017,23/07/2017,70,71.7,Chr.ori,3,2.2,38,55,2.5,2.2,28,40,24.25,58.14,38.76,11.19,49.95,0.89,0.08,0.81,0.48,-58.44925926
WET_P_1_OP_H3,WET_P_1_H3,WET_P,WET_P_1,Mwantimba,WET,P,1,OP,H3,957,-2.350052,34.049976,5/14/2017,23/07/2017,70,71.7,Chr.ori,1,2.2,70,85,1,1.4,30,35,16.37,29.53,36.69,1.23,37.92,0.81,,0.33,,
WET_P_2_EX_H3,WET_P_2_H3,WET_P,WET_P_2,Mwantimba,WET,P,2,EX,H3,959,-2.348488,34.05011,5/14/2017,23/07/2017,70,71.7,Chr.ori,2,4.4,40,60,2.2,8.8,25,37,24.42,61.21,30.58,10.29,40.87,0.75,0.11,0.47,0.4,-84.63638298
WET_P_2_OP_H3,WET_P_2_H3,WET_P,WET_P_2,Mwantimba,WET,P,2,OP,H3,959,-2.348488,34.05011,5/14/2017,23/07/2017,70,71.7,Chr.ori,1.3,5.4,45,55,1.9,1.8,15,22,11.62,29.12,27.7,3.12,30.82,0.64,,0.07,,
WET_P_3_EX_H3,WET_P_3_H3,WET_P,WET_P_3,Mwantimba,WET,P,3,EX,H3,1022,-2.367293,34.062509,5/14/2017,23/07/2017,70,71.7,Chr.ori,3,17,30,95,2.8,24,45,70,4.8,104.22,40.77,20.14,60.91,1.57,0.94,-1.13,1.45,127.1885841
WET_P_3_OP_H3,WET_P_3_H3,WET_P,WET_P_3,Mwantimba,WET,P,3,OP,H3,1022,-2.367293,34.062509,5/14/2017,23/07/2017,70,71.7,Chr.ori,,25,40,95,2,4,40,55,1.11,89.48,17.13,7.14,24.27,0.64,,-2.59,,
WET_P_4_EX_H3,WET_P_4_H3,WET_P,WET_P_4,Mwantimba,WET,P,4,EX,H3,1020,-2.36857,34.062586,5/14/2017,23/07/2017,70,71.7,Chr.ori,4.8,16.8,25,75,4.5,13.8,15,50,9.22,77.4,16.68,38.95,55.63,-0.04,0.22,-0.49,0.76,154.6120408
WET_P_4_OP_H3,WET_P_4_H3,WET_P,WET_P_4,Mwantimba,WET,P,4,OP,H3,1020,-2.36857,34.062586,5/14/2017,23/07/2017,70,71.7,Chr.ori,2,9.6,25,70,1.7,10.2,18,45,17.76,67.98,11.17,25.21,36.38,-0.26,,-1.25,,
DRY_W_1_EX_H3,DRY_W_1_H3,DRY_W,DRY_W_1,Maswa,DRY,W,1,EX,H3,995,-3.299332,34.848458,05/11/2017,21/07/2017,71,9.6,Cyn.dac,2.4,2.6,20,25,1.5,5,10,30,,,6.43,2.68,9.11,0.25,0,0.36,-0.04,11.47111111
DRY_W_1_EX2_H3,DRY_W_1_H3,DRY_W,DRY_W_1,Maswa,DRY,W,1,EX2,H3,995,-3.299332,34.848458,05/11/2017,21/07/2017,71,9.6,Cyn.dac,1.5,3.2,5,25,2,2.4,13,35,,,1.38,16.36,17.74,0.05,-0.2,0.69,0.29,-41.33898551
DRY_W_1_OP_H3,DRY_W_1_H3,DRY_W,DRY_W_1,Maswa,DRY,W,1,OP,H3,995,-3.299332,34.848458,05/11/2017,21/07/2017,71,9.6,Cyn.dac,1.3,3.3,10,30,2,1.4,5,13,0,0,6.48,3.76,10.24,0.25,,0.4,,
DRY_W_2_EX_H3,DRY_W_2_H3,DRY_W,DRY_W_2,Maswa,DRY,W,2,EX,H3,980,-3.303268,34.847796,05/11/2017,21/07/2017,71,9.6,Cyn.dac,1.5,2.8,7,15,2.5,4.4,5,20,14.46,25.81,3.8,7.75,11.55,-0.05,-0.16,-0.17,-0.08,-47.22882353
DRY_W_2_EX2_H3,DRY_W_2_H3,DRY_W,DRY_W_2,Maswa,DRY,W,2,EX2,H3,980,-3.303268,34.847796,05/11/2017,21/07/2017,71,9.6,Cyn.dac,,4.7,20,45,2,5.6,7,25,,,5.73,12.85,18.58,0.03,-0.09,0.11,0.2,-181.7081818
DRY_W_2_OP_H3,DRY_W_2_H3,DRY_W,DRY_W_2,Maswa,DRY,W,2,OP,H3,980,-3.303268,34.847796,05/11/2017,21/07/2017,71,9.6,Cyn.dac,1.5,5.4,20,30,,1.4,3,10,5.07,15.8,8,5.57,13.57,0.11,,-0.09,,
DRY_W_3_EX_H3,DRY_W_3_H3,DRY_W,DRY_W_3,Maswa,DRY,W,3,EX,H3,998,-3.295645,34.852435,05/11/2017,21/07/2017,71,9.6,Cyn.dac,2,6,15,45,2.5,1,10,17,,,5.85,9,14.85,0,0.04,-0.38,0.14,36.46210526
DRY_W_3_EX2_H3,DRY_W_3_H3,DRY_W,DRY_W_3,Maswa,DRY,W,3,EX2,H3,998,-3.295645,34.852435,05/11/2017,21/07/2017,71,9.6,Cyn.dac,2.3,4,20,45,2,2.7,3,15,8.04,46.41,6.88,21.95,28.83,0.04,0.08,0.17,0.69,-405.7123529
DRY_W_3_OP_H3,DRY_W_3_H3,DRY_W,DRY_W_3,Maswa,DRY,W,3,OP,H3,998,-3.295645,34.852435,05/11/2017,21/07/2017,71,9.6,Cyn.dac,1.5,4.2,18,30,1.5,3.6,11,15,5.92,24.56,4.74,6.51,11.25,-0.05,,-0.52,,
DRY_W_4_EX_H3,DRY_W_4_H3,DRY_W,DRY_W_4,Maswa,DRY,W,4,EX,H3,1000,-3.296013,34.854327,05/11/2017,21/07/2017,71,16.58,Cyn.dac,3.5,2.6,10,35,,1,5,7,4.07,43.6,4.67,8.81,13.48,-0.03,0.05,-0.11,0.19,172.6172727
DRY_W_4_EX2_H3,DRY_W_4_H3,DRY_W,DRY_W_4,Maswa,DRY,W,4,EX2,H3,1000,-3.296013,34.854327,05/11/2017,21/07/2017,71,16.58,Cyn.dac,1.5,2.4,10,40,1.5,3.8,15,30,24.86,46.29,3.6,14.01,17.61,-0.07,0.01,0.05,0.35,-699.95
DRY_W_4_OP_H3,DRY_W_4_H3,DRY_W,DRY_W_4,Maswa,DRY,W,4,OP,H3,1000,-3.296013,34.854327,05/11/2017,21/07/2017,71,16.58,Cyn.dac,1.5,3.6,15,25,1.7,3.2,15,25,5.41,16.24,3.46,5.14,8.6,-0.08,,-0.3,,
DRY_P_1_EX_H3,DRY_P_1_H3,DRY_P,DRY_P_1,Makao,DRY,P,1,EX,H3,1009,-3.303212,34.847736,05/09/2017,22/07/2017,74,6.67,Chl.pyc,3,14.6,55,75,2,7.2,35,55,24.77,72.93,16.78,13.52,30.3,-0.25,0.34,-0.05,0.67,1339.95
DRY_P_1_OP_H3,DRY_P_1_H3,DRY_P,DRY_P_1,Makao,DRY,P,1,OP,H3,1009,-3.303212,34.847736,05/09/2017,22/07/2017,74,6.67,Chl.pyc,3,19.2,70,90,,1,12,20,23.31,31.69,7.75,4.75,12.5,-0.58,,-0.72,,
DRY_P_2_EX_H3,DRY_P_2_H3,DRY_P,DRY_P_2,Makao,DRY,P,2,EX,H3,1006,-3.408426,34.850244,05/09/2017,22/07/2017,74,6.67,Chl.pyc,1.2,7.4,10,35,1.5,4.8,8,15,14.68,29.67,4.42,16.88,21.3,0.12,0.15,0.18,0.5,-277.5977778
DRY_P_2_OP_H3,DRY_P_2_H3,DRY_P,DRY_P_2,Makao,DRY,P,2,OP,H3,1006,-3.408426,34.850244,05/09/2017,22/07/2017,74,6.67,Chl.pyc,1,4.8,15,50,1.5,0.9,2,15,1.18,16.53,0.44,7.58,8.02,-0.03,,-0.32,,
DRY_P_3_EX_H3,DRY_P_3_H3,DRY_P,DRY_P_3,Makao,DRY,P,3,EX,H3,1001,-3.406316,34.850407,05/09/2017,22/07/2017,74,6.67,Chl.pyc,11,18.8,35,60,1,1.8,10,25,13.47,27.67,1.43,14.18,15.61,-0.22,0.04,-0.91,0.27,28.76032967
DRY_P_3_OP_H3,DRY_P_3_H3,DRY_P,DRY_P_3,Makao,DRY,P,3,OP,H3,1001,-3.406316,34.850407,05/09/2017,22/07/2017,74,6.67,Chl.pyc,2,12.1,30,55,1,0.6,7,12,7.41,39.78,0.43,7.97,8.4,-0.26,,-1.18,,
DRY_P_4_EX_H3,DRY_P_4_H3,DRY_P,DRY_P_4,Makao,DRY,P,4,EX,H3,1003,-3.406853,34.8516,05/09/2017,22/07/2017,74,6.67,Chl.pyc,2.5,14.4,20,70,1,1.8,7,25,5.69,26.72,2.6,18.26,20.86,-0.51,0.06,-1,0.57,56
DRY_P_4_OP_H3,DRY_P_4_H3,DRY_P,DRY_P_4,Makao,DRY,P,4,OP,H3,1003,-3.406853,34.8516,05/09/2017,22/07/2017,74,6.67,Chl.pyc,2.4,15.6,25,60,0.4,0.9,4,7,16.16,47.55,0.98,4.74,5.72,-0.57,,-1.57,,
SE_1_EX_H3,SE_1_H3,SE,SE_1,Seronera,SE,W,1,EX,H3,1023,-2.437747,34.855162,5/17/2017,26/07/2017,70,65.34,Dig.mac,8.2,28.4,25,80,6,10.6,30,65,20.74,65.63,18.05,33.3,51.35,0.41,0.33,-0.6,0.85,141.0666667
SE_1_EX2_H3,SE_1_H3,SE,SE_1,Seronera,SE,W,1,EX2,H3,1023,-2.437747,34.855162,5/17/2017,26/07/2017,70,65.34,Dig.mac,2,13.4,30,50,2.5,6.2,20,30,9.19,48.94,13.9,10.68,24.58,0.25,0.17,-1.67,-0.21,-14.2448503
SE_1_OP_H3,SE_1_H3,SE,SE_1,Seronera,SE,W,1,OP,H3,1023,-2.437747,34.855162,5/17/2017,26/07/2017,70,65.34,Dig.mac,5,18.4,15,60,3.5,4.4,20,30,7.67,66.54,9.69,20.23,29.92,0.08,,-1.45,,
SE_2_EX_H3,SE_2_H3,SE,SE_2,Seronera,SE,W,2,EX,H3,1025,-2.437766,34.855394,5/17/2017,26/07/2017,70,65.34,Dig.mac,4,10,25,50,2.5,3.8,12,20,32.45,85.99,7.72,15.37,23.09,,-0.37,0.51,-0.42,82.86294118
SE_2_EX2_H3,SE_2_H3,SE,SE_2,Seronera,SE,W,2,EX2,H3,1025,-2.437766,34.855394,5/17/2017,26/07/2017,70,65.34,Dig.mac,2.5,18.2,15,65,2.1,9.6,10,40,5.81,61.88,29.3,31.02,60.32,,0.48,1.99,1.05,-50.7738191
SE_2_OP_H3,SE_2_H3,SE,SE_2,Seronera,SE,W,2,OP,H3,1025,-2.437766,34.855394,5/17/2017,26/07/2017,70,65.34,Dig.mac,3.5,10.4,30,50,2.2,5.4,18,25,,10.14,17.15,16.59,33.74,,,0.94,,
SE_3_EX_H3,SE_3_H3,SE,SE_3,Seronera,SE,W,3,EX,H3,1027,-2.437991,34.855418,5/17/2017,26/07/2017,70,65.34,Dig.mac,4,7.4,,45,2.2,9.2,12,23,7.99,51.37,12.5,5.92,18.42,-0.36,0.23,-1.43,-0.42,-30.80062937
SE_3_EX2_H3,SE_3_H3,SE,SE_3,Seronera,SE,W,3,EX2,H3,1027,-2.437991,34.855418,5/17/2017,26/07/2017,70,65.34,Dig.mac,2.5,15.4,15,45,2.2,6.6,10,35,5.26,63.84,10.12,19.71,29.83,-0.45,0.13,-0.98,0.03,2.08122449
SE_3_OP_H3,SE_3_H3,SE,SE_3,Seronera,SE,W,3,OP,H3,1027,-2.437991,34.855418,5/17/2017,26/07/2017,70,65.34,Dig.mac,5.5,24.8,18,55,2.5,5.4,8,25,21.55,54.57,6.81,22.31,29.12,-0.58,,-1.01,,
SE_4_EX_H3,SE_4_H3,SE,SE_4,Seronera,SE,W,4,EX,H3,1026,-2.438079,34.854989,5/17/2017,26/07/2017,70,65.34,Dig.mac,6.5,18.2,35,70,3.5,7.4,25,35,8.14,61.99,16.55,24.26,40.81,0.46,0.39,-0.34,1.08,317.3070588
SE_4_EX2_H3,SE_4_H3,SE,SE_4,Seronera,SE,W,4,EX2,H3,1026,-2.438079,34.854989,5/17/2017,26/07/2017,70,65.34,Dig.mac,2.5,19.2,20,60,1,6,12,27,21.61,88.52,5.67,19.72,25.39,0.03,-0.04,-0.96,0.47,47.99833333
SE_4_OP_H3,SE_4_H3,SE,SE_4,Seronera,SE,W,4,OP,H3,1026,-2.438079,34.854989,5/17/2017,26/07/2017,70,65.34,Dig.mac,4.5,8.8,20,45,2.5,2.2,10,17,4.87,49.49,6.8,6.77,13.57,0.08,,-1.43,,
WET_W_1_EX_H4,WET_W_1_H4,WET_W,WET_W_1,Handajega,WET,W,1,EX,H4,954,-2.272484,34.023326,7/24/2017,30/09/2017,69,162.63,The.tri,4,29.4,10,35,5.5,19.6,17,50,8.41,22.49,10.26,46.51,56.77,0.28,0.06,1.51,0.45,-28.2913245
WET_W_1_OP_H4,WET_W_1_H4,WET_W,WET_W_1,Handajega,WET,W,1,OP,H4,954,-2.272484,34.023326,7/24/2017,30/09/2017,69,162.63,The.tri,3.2,11.4,12,30,4,7.4,10,36,3.2,19.33,8.78,36.91,45.69,0.22,,1.06,,
WET_W_2_EX_H4,WET_W_2_H4,WET_W,WET_W_2,Handajega,WET,W,2,EX,H4,953,-2.2783,34.024459,7/24/2017,30/09/2017,69,162.63,The.tri,1.2,12.4,25,40,3.5,6.2,5,45,7.67,30.95,7.72,20.03,27.75,0.14,-0.01,0.45,-0.09,20.45
WET_W_2_OP_H4,WET_W_2_H4,WET_W,WET_W_2,Handajega,WET,W,2,OP,H4,953,-2.2783,34.024459,7/24/2017,30/09/2017,69,162.63,The.tri,2.3,10.8,15,38,3.3,4.5,17,35,4.27,16.45,8.07,21.81,29.88,0.15,,0.54,,
WET_W_3_EX_H4,WET_W_3_H4,WET_W,WET_W_3,Handajega,WET,W,3,EX,H4,951,-2.277999,34.027678,7/24/2017,30/09/2017,69,162.63,The.tri,2,7.4,6,30,2,8.6,8,30,21.13,41.21,10.83,28.21,39.04,0.1,-0.12,0.81,-2.39,295.8717284
WET_W_3_OP_H4,WET_W_3_H4,WET_W,WET_W_3,Handajega,WET,W,3,OP,H4,951,-2.277999,34.027678,7/24/2017,30/09/2017,69,162.63,The.tri,9.5,15.8,16,60,9.7,12.9,10,50,8.35,18.93,13.75,84.64,98.39,0.22,,3.2,,
WET_W_4_EX_H4,WET_W_4_H4,WET_W,WET_W_4,Handajega,WET,W,4,EX,H4,950,-2.278837,34.031884,7/24/2017,30/09/2017,69,162.63,The.tri,4.2,16,35,55,6.1,16.2,44,50,26.72,31.64,51.26,7.37,58.63,1.6,1.72,0.69,0.95,-136.9911594
WET_W_4_OP_H4,WET_W_4_H4,WET_W,WET_W_4,Handajega,WET,W,4,OP,H4,950,-2.278837,34.031884,7/24/2017,30/09/2017,69,162.63,The.tri,2.5,18.4,20,40,2.1,3.8,5,30,11.58,41.48,8.57,26.38,34.95,-0.12,,-0.26,,
WET_P_1_EX_H4,WET_P_1_H4,WET_P,WET_P_1,Mwantimba,WET,P,1,EX,H4,957,-2.350052,34.049976,7/23/2017,30/09/2017,69,136.27,Chr.ori,1.6,2,35,45,0.25,1.7,34,37,38.76,49.95,22.77,1.19,23.96,-0.56,-0.47,-0.56,-0.46,-82.70285714
WET_P_1_OP_H4,WET_P_1_H4,WET_P,WET_P_1,Mwantimba,WET,P,1,OP,H4,957,-2.350052,34.049976,7/23/2017,30/09/2017,69,136.27,Chr.ori,1.3,1.2,35,40,0,1.7,28,30,36.69,37.92,34.5,0.94,35.44,-0.09,,-0.1,,
WET_P_2_EX_H4,WET_P_2_H4,WET_P,WET_P_2,Mwantimba,WET,P,2,EX,H4,959,-2.348488,34.05011,7/23/2017,30/09/2017,69,136.27,Chr.ori,1.7,3,30,40,2,2.3,43,55,30.58,40.87,20.96,5.82,26.78,-0.27,0.12,-0.16,0.31,193.59
WET_P_2_OP_H4,WET_P_2_H4,WET_P,WET_P_2,Mwantimba,WET,P,2,OP,H4,959,-2.348488,34.05011,7/23/2017,30/09/2017,69,136.27,Chr.ori,1.5,1.2,38,45,0,1.4,21,25,27.7,30.82,17.9,1.11,19.01,-0.39,,-0.48,,
WET_P_3_EX_H4,WET_P_3_H4,WET_P,WET_P_3,Mwantimba,WET,P,3,EX,H4,1022,-2.367293,34.062509,7/23/2017,30/09/2017,69,136.27,Chr.ori,1.8,4.4,25,60,1.5,2.6,27,48,40.77,60.91,13.18,5.38,18.56,-0.16,0.02,-0.23,0.15,64.9873913
WET_P_3_OP_H4,WET_P_3_H4,WET_P,WET_P_3,Mwantimba,WET,P,3,OP,H4,1022,-2.367293,34.062509,7/23/2017,30/09/2017,69,136.27,Chr.ori,2,14.8,30,45,1.25,1.9,22,25,17.13,24.27,12.64,2.1,14.74,-0.18,,-0.38,,
WET_P_4_EX_H4,WET_P_4_H4,WET_P,WET_P_4,Mwantimba,WET,P,4,EX,H4,1020,-2.36857,34.062586,7/23/2017,30/09/2017,69,136.27,Chr.ori,2,3.6,20,40,1.4,2.8,20,35,16.68,55.63,13.92,7.26,21.18,0.11,-0.15,-0.61,-0.36,-59.62639344
WET_P_4_OP_H4,WET_P_4_H4,WET_P,WET_P_4,Mwantimba,WET,P,4,OP,H4,1020,-2.36857,34.062586,7/23/2017,30/09/2017,69,136.27,Chr.ori,1.8,11.6,45,60,1.5,1.4,30,40,11.17,36.38,17.63,12.43,30.06,0.26,,-0.25,,
DRY_W_1_EX_H4,DRY_W_1_H4,DRY_W,DRY_W_1,Maswa,DRY,W,1,EX,H4,995,-3.299332,34.848458,7/21/2017,28/09/2017,69,6.9,Cyn.dac,0.5,4.4,4,10,2,5.4,4,22,6.43,9.11,2.28,7.37,9.65,-0.17,-0.08,-0.02,0,-0.02
DRY_W_1_EX2_H4,DRY_W_1_H4,DRY_W,DRY_W_1,Maswa,DRY,W,1,EX2,H4,995,-3.299332,34.848458,7/21/2017,28/09/2017,69,6.9,Cyn.dac,1.5,2,15,40,2,5,8,40,1.38,17.74,5.32,13.62,18.94,-0.05,0.04,0.35,0.38,-108.2214286
DRY_W_1_OP_H4,DRY_W_1_H4,DRY_W,DRY_W_1,Maswa,DRY,W,1,OP,H4,995,-3.299332,34.848458,7/21/2017,28/09/2017,69,6.9,Cyn.dac,1.5,1.4,8,20,1,4,5,30,6.48,10.24,4.33,5.21,9.54,-0.09,,-0.03,,
DRY_W_2_EX_H4,DRY_W_2_H4,DRY_W,DRY_W_2,Maswa,DRY,W,2,EX,H4,980,-3.303268,34.847796,7/21/2017,28/09/2017,69,6.9,Cyn.dac,2.5,6.2,25,40,2.25,5,10,28,3.8,11.55,12.35,3.41,15.76,0.18,0.4,0.09,0.45,-499.91
