Current.placement.of.the.turf,date_extracted,insertion_date,harvest_date,Site,Block,Placement,wp,latitude,longitude,Source.ID,date,Landuse,Tagsp,Trasnplant,Treatment,InitialVegH,InitialVegCover,InitialTagSpcover,FilVegCover,FilTagspCover,FilVegH,Average.H.outside,Themeda.triandra,Digitaria.macroblephara,Crysochloa.orientalis,Chloris.pycnothris,Cynodon.dactylon,Other.weight.g,Other.subsample.wt.g,Target.weight.g,Target.subsample.wt.g,Soil.depth,weight.g,airdry.weight.g,ovendry.weight.g,weight.stones.g,pH,Total.depth.cm,Core.depth.cm,Vol.cm3,Stone.vol.cm3,BD.gcm3
SE_1_EX_4,17/02/2017,18/02/2017,19/05/2018,Seronera,1,SE_EX,976,-2.437361-2.43735401,34.85509099,CG_DRY_P_1_1,19.5.2018,Wild,Chl pyc,Trasnplant,Exclosed,4.3,30,19,15,2,55,47,0,0,19,0,0,23.08,19.13,5.65,0.33,5cm,83.85,40.4403,39.875,4.7074,6.55,14,5,69.27211801,2.46761908,0.526425623
SE_1_EX_5,17/02/2017,18/02/2017,19/05/2018,Seronera,1,SE_EX,976,-2.437361-2.43735401,34.85509099,SE_1_EX_5,19.5.2018,Wild,Dig mac,Control,Exclosed,4.2,15,14,80,70,48,59,0,14,0,0,0,11.42,4.24,73.13,20.65,5cm,81.11,41.0222,40.1595,1.7155,6.22,14,5,69.27211801,0.8992651,0.562269941
SE_1_OP_1,20/02/2017,22/02/2017,19/05/2018,Seronera,1,SE_OP,964,-2.43741503,34.85508897,CG_WET_W_1_2,19.5.2018,Wild,The tri,Trasnplant,Open,4.6,25,8,80,55,45,68,0,0,0,8,0,9.77,2.57,23.5,12.22,5cm,72,42.8665,42.0642,1.6976,5.7,13,5,69.27211801,0.88988192,0.590308278
SE_1_OP_2,19/02/2017,22/02/2017,19/05/2018,Seronera,1,SE_OP,964,-2.43741503,34.85508897,CG_WET_P_1_2,19.5.2018,Wild,Chr ori,Trasnplant,Open,4,25,23,80,70,32,41,0,0,0,0,23,8.65,2.45,9.86,2.61,5cm,86.07,39.3895,38.1646,2.1125,5.87,13,5,69.27211801,1.1073725,0.528896569
SE_1_OP_3,23/02/2017,25/02/2017,19/05/2018,Seronera,1,SE_OP,964,-2.43741503,34.85508897,CG_DRY_W_1_2,19.5.2018,Wild,Cyn dac,Trasnplant,Open,2,8,7,20,3,20,66,0,0,7,1,0,15.24,6.37,6.18,0.75,5cm,56.95,39.355,35.6448,0.0318,6.61,13,5,69.27211801,0.01666956,0.51422669
SE_1_OP_4,23/02/2017,25/02/2017,19/05/2018,Seronera,1,SE_OP,964,-2.43741503,34.85508897,CG_DRY_P_1_2,19.5.2018,Wild,Chl pyc,Trasnplant,Open,2.2,25,15,75,0,23,21,0,0,15,10,0,14.01,5.9,,,5cm,71.81,43.9914,43.3491,2.945,6.1,14,5,69.27211801,1.543769,0.596561124
SE_1_OP_5,23/02/2017,25/02/2017,19/05/2018,Seronera,1,SE_OP,964,-2.43741503,34.85508897,SE_1_OP_5,19.5.2018,Wild,Dig mac,Control,Open,3,20,18,30,20,27,35,0,18,0,0,0,7.19,1.58,,,5cm,84.69,40.6223,39.7669,1.802,6.12,14,5,69.27211801,0.9446084,0.555631256
SE_2_EX_1,20/02/2017,22/02/2017,19/05/2018,Seronera,2,SE_EX,972,-2.43735401,34.855194,CG_WET_W_2_2,19.5.2018,Wild,The tri,Trasnplant,Exclosed,5.5,40,16,95,15,54,57,0,0,0,16,0,76.93,18.15,,,5cm,94.69,41.7796,41.0311,1.0831,5.63,13.5,5,69.27211801,0.56776102,0.58144784
SE_2_EX_2,20/02/2017,22/02/2017,19/05/2018,Seronera,2,SE_EX,972,-2.43735401,34.855194,CG_WET_P_2_1,19.5.2018,Wild,Chr ori,Trasnplant,Exclosed,2.7,30,18,88,80,44,44,0,0,0,0,18,160.28,26.23,18.74,9.25,5cm,86.13,40.7992,39.9432,2.264,6.23,15,5,69.27211801,1.1867888,0.553411439
SE_2_EX_3,23/02/2017,25/02/2017,19/05/2018,Seronera,2,SE_EX,972,-2.43735401,34.855194,CG_DRY_W_2_1,19.5.2018,Wild,Cyn dac,Trasnplant,Exclosed,1.6,30,24,25,8,44,59,0,0,24,5,0,11.99,4.63,16.45,7.23,5cm,68.08,39.0289,36.1384,0.1449,6.48,14,5,69.27211801,0.07595658,0.520166137
SE_2_EX_4,23/02/2017,25/02/2017,19/05/2018,Seronera,2,SE_EX,972,-2.43735401,34.855194,CG_DRY_P_2_1,19.5.2018,Wild,Chl pyc,Trasnplant,Exclosed,1.4,25,15,80,0,15,64,0,0,15,10,0,19.53,10.46,,,5cm,85.87,39.5427,38.847,5.1034,6.67,13.5,5,69.27211801,2.67520228,0.506684125
SE_2_EX_5,23/02/2017,25/02/2017,19/05/2018,Seronera,2,SE_EX,972,-2.43735401,34.855194,SE_2_EX_5,19.5.2018,Wild,Dig mac,Control,Exclosed,3.1,55,10,95,0,36,50,0,10,0,0,0,83.16,18.48,,,5cm,79.88,39.8517,39.2764,1.6339,5.95,14,5,69.27211801,0.85649038,0.55020324
SE_2_OP_1,21/02/2017,22/02/2017,19/05/2018,Seronera,2,SE_OP,977,-2.437377982,34.85516299,CG_WET_W_2_1,19.5.2018,Wild,The tri,Trasnplant,Open,3.3,25,15,10,5,18,46,0,0,0,15,0,9.49,2.05,6.26,1.01,5cm,81.62,40.2299,39.3092,0.8576,5.61,13.5,5,69.27211801,0.44955392,0.558706298
SE_2_OP_2,19/02/2017,22/02/2017,19/05/2018,Seronera,2,SE_OP,977,-2.437377982,34.85516299,,19.5.2018,Wild,Chr ori,Trasnplant,Open,2.5,40,20,70,55,50,26,0,0,0,0,20,31.3,12.8,8.66,1.9,5cm,121.67,50.7182,48.1669,0.7375,6.82,14,5,69.27211801,0.3865975,0.688524956
SE_2_OP_3,16/02/2017,18/02/2017,19/05/2018,Seronera,2,SE_OP,977,-2.437377982,34.85516299,CG_DRY_W_2_2,19.5.2018,Wild,Cyn dac,Trasnplant,Open,7.3,75,71,25,5,28,55,71,0,0,0,0,21.07,7.11,6.3,0.73,5cm,66.8,40.1996,37.9782,0.7185,6.21,11,5,69.27211801,0.3766377,0.540814867
SE_2_OP_4,16/02/2017,18/02/2017,19/05/2018,Seronera,2,SE_OP,977,-2.437377982,34.85516299,CG_DRY_P_2_2,19.5.2018,Wild,Chl pyc,Trasnplant,Open,5.2,65,57,3,0,5,38,57,2,0,0,0,5.31,0.07,,,5cm,111.31,29.1581,28.5792,1.9236,6.12,13.5,5,69.27211801,1.00835112,0.390479477
SE_2_OP_5,16/02/2017,18/02/2017,19/05/2018,Seronera,2,SE_OP,977,-2.437377982,34.85516299,SE_2_OP_5,19.5.2018,Wild,Dig mac,Control,Open,2.2,15,4,55,0,34,21,0,4,0,0,0,43.07,11.57,,,5cm,109.01,30.6914,30.316,1.7156,5.8,14,5,69.27211801,0.89931752,0.418300842
SE_3_EX_1,20/02/2017,22/02/2017,19/05/2018,Seronera,3,SE_EX,973,-2.43755199,34.85471799,CG_WET_W_3_1,19.5.2018,Wild,The tri,Trasnplant,Exclosed,3.5,30,17,75,60,64,80,0,0,0,17,0,33.61,7.5,55.61,16.49,5cm,74.27,41.5576,40.7248,0.5099,5.77,15,5,69.27211801,0.26728958,0.582783856
SE_3_EX_2,20/02/2017,22/02/2017,19/05/2018,Seronera,3,SE_EX,973,-2.43755199,34.85471799,CG_WET_P_3_1,19.5.2018,Wild,Chr ori,Trasnplant,Exclosed,2.7,20,9,15,0,34,99,0,0,0,0,9,24.19,12.26,,,5cm,75.88,40.3715,39.071,0.2699,6.49,13.5,5,69.27211801,0.14148158,0.561272136
SE_3_EX_3,17/02/2017,22/02/2017,19/05/2018,Seronera,3,SE_EX,973,-2.43755199,34.85471799,CG_DRY_W_3_1,19.5.2018,Wild,Cyn dac,Trasnplant,Exclosed,1.5,8,7,10,0,41,92,0,0,7,1,0,14.7,6.22,,,5cm,86.63,40.891,40.105,5.7716,6.68,11,5,69.27211801,3.02547272,0.518266244
SE_3_EX_4,17/02/2017,18/02/2017,19/05/2018,Seronera,3,SE_EX,973,-2.43755199,34.85471799,CG_DRY_P_3_1,19.5.2018,Wild,Chl pyc,Trasnplant,Exclosed,2.2,15,10,15,0,39,88,0,0,10,2,0,15.34,4.27,,,5cm,68.26,39.3969,36.708,0.1418,7.35,13,5,69.27211801,0.07433156,0.528430198
SE_3_EX_5,17/02/2017,18/02/2017,19/05/2018,Seronera,3,SE_EX,973,-2.43755199,34.85471799,SE_3_EX_5,19.5.2018,Wild,Dig mac,Control,Exclosed,2.7,45,16,90,5,64,101,0,16,0,0,0,78.26,17.71,,,5cm,67.89,40.5373,39.6326,1.4984,5.86,14,5,69.27211801,0.78546128,0.556812112
SE_3_OP_1,21/02/2017,22/02/2017,19/05/2018,Seronera,3,SE_OP,978,-2.43747496,34.85473098,CG_WET_W_3_2,19.5.2018,Wild,The tri,Trasnplant,Open,2.5,45,31,95,90,58,68,0,0,0,31,0,6.28,0.68,71.94,16.43,5cm,82.95,42.1347,41.0455,0.638,5.66,13,5,69.27211801,0.3344396,0.586145355
SE_3_OP_2,20/02/2017,22/02/2017,19/05/2018,Seronera,3,SE_OP,978,-2.43747496,34.85473098,CG_WET_P_3_2,19.5.2018,Wild,Chr ori,Trasnplant,Open,2.8,15,11,85,70,56,76,0,0,0,0,11,36.64,16.69,9.85,2.43,5cm,77.09,40.5501,39.4797,0.6139,6.11,13,5,69.27211801,0.32180638,0.563678381
SE_3_OP_3,16/02/2017,18/02/2017,19/05/2018,Seronera,3,SE_OP,978,-2.43747496,34.85473098,CG_DRY_W_3_2,19.5.2018,Wild,Cyn dac,Trasnplant,Open,8,50,44,45,0,37,89,44,5,0,0,0,31.08,5.26,,,5cm,73.87,39.2994,37.3591,0.7315,7.14,12,5,69.27211801,0.3834523,0.53169269
SE_3_OP_4,16/02/2017,18/02/2017,19/05/2018,Seronera,3,SE_OP,978,-2.43747496,34.85473098,CG_DRY_P_3_2,19.5.2018,Wild,Chl pyc,Trasnplant,Open,3,40,38,10,1,46,87,38,0,0,0,0,17.38,8.98,6.06,0.68,5cm,94.34,44.1193,43.1607,13.0577,6.64,13.5,5,69.27211801,6.84484634,0.482209124
SE_3_OP_5,16/02/2017,18/02/2017,19/05/2018,Seronera,3,SE_OP,978,-2.43747496,34.85473098,SE_3_OP_5,19.5.2018,Wild,Dig mac,Control,Open,2.6,25,12,98,0,52,81,0,12,0,0,5,61.98,22.39,,,5cm,92.61,36.0029,35.0191,0.8313,6.37,13,5,69.27211801,0.43576746,0.49665329
SE_4_EX_1,21/02/2017,22/02/2017,19/05/2018,Seronera,4,SE_EX,975,-2.43743699,34.85444801,CG_WET_W_4_1,19.5.2018,Wild,The tri,Trasnplant,Exclosed,3.2,10,7,90,80,91,93,0,0,0,7,3,8.67,2.77,78.36,14.38,5cm,92.56,39.4535,38.6455,1.3399,7.3,14,5,69.27211801,0.70237558,0.544053378
SE_4_EX_2,19/02/2017,22/02/2017,19/05/2018,Seronera,4,SE_EX,975,-2.43743699,34.85444801,CG_WET_P_4_1,19.5.2018,Wild,Chr ori,Trasnplant,Exclosed,2.5,29,22,5,0,29,92,0,0,0,0,22,6.4,1.28,,,5cm,57.7,40.3756,38.1767,0.6714,6.3,12.5,5,69.27211801,0.35194788,0.544184669
SE_4_EX_3,16/02/2017,18/02/2017,19/05/2018,Seronera,4,SE_EX,975,-2.43743699,34.85444801,CG_DRY_W_4_1,19.5.2018,Wild,Cyn dac,Trasnplant,Exclosed,7.2,65,45,10,2,40,82,45,0,0,0,0,15.01,5.71,,,5cm,78.29,35.9208,34.0905,2.1447,7.27,10,5,69.27211801,1.12425174,0.46877183
SE_4_EX_4,16/02/2017,18/02/2017,19/05/2018,Seronera,4,SE_EX,975,-2.43743699,34.85444801,CG_DRY_P_4_1,19.5.2018,Wild,Chl pyc,Trasnplant,Exclosed,7,50,43,30,0,25,88,43,0,0,0,0,7.43,1.22,,,5cm,88.8,39.4684,38.6997,2.9857,6.98,12,5,69.27211801,1.56510394,0.527478585
SE_4_EX_5,16/02/2017,18/02/2017,19/05/2018,Seronera,4,SE_EX,975,-2.43743699,34.85444801,SE_4_EX_5,19.5.2018,Wild,Dig mac,Control,Exclosed,2,25,25,95,60,79,86,0,25,0,0,0,20.83,0.5,75.66,20.3,5cm,77.08,39.312,38.2939,1.2058,6,13,5,69.27211801,0.63208036,0.540327501
SE_4_OP_1,21/02/2017,22/02/2017,19/05/2018,Seronera,4,SE_OP,974,-2.43735401,34.85454298,CG_WET_W_4_2,19.5.2018,Wild,The tri,Trasnplant,Open,4,25,10,20,0,41,63,0,0,0,10,0,18.22,8.59,,,5cm,97.58,39.5633,37.5126,0.6019,7.1,13,5,69.27211801,0.31551598,0.535274345
SE_4_OP_2,19/02/2017,22/02/2017,19/05/2018,Seronera,4,SE_OP,974,-2.43735401,34.85454298,CG_WET_P_4_2,19.5.2018,Wild,Chr ori,Trasnplant,Open,2.8,20,10,55,0,25,76,0,0,0,0,10,15.96,7.56,,,5cm,120.58,40.2905,39.3489,3.1281,6.18,13,5,69.27211801,1.63975002,0.535554219
SE_4_OP_3,16/02/2017,18/02/2017,19/05/2018,Seronera,4,SE_OP,974,-2.43735401,34.85454298,CG_DRY_W_4_2,19.5.2018,Wild,Cyn dac,Trasnplant,Open,6.3,60,60,1,0,4,86,60,0,0,0,0,7.21,0.84,,,5cm,108.89,40.3263,39.2561,4.4989,7.17,12,5,69.27211801,2.35832338,0.519432506
SE_4_OP_4,16/02/2017,18/02/2017,19/05/2018,Seronera,4,SE_OP,974,-2.43735401,34.85454298,CG_DRY_P_4_2,19.5.2018,Wild,Chl pyc,Trasnplant,Open,6.3,55,53,1,0,2,77,53,0,0,0,0,6.93,1.1,,,5cm,98.9,41.5428,41.3064,1.8302,6.28,10,5,69.27211801,0.95939084,0.577874748
SE_4_OP_5,16/02/2017,18/02/2017,19/05/2018,Seronera,4,SE_OP,974,-2.43735401,34.85454298,SE_4_OP_5,19.5.2018,Wild,Dig mac,Control,Open,2,15,6,80,0,54,98,6,6,0,0,0,40.86,11.74,,,5cm,87.09,42.0701,40.1492,0.8502,6.27,13,5,69.27211801,0.44567484,0.570986937
WET_P_1_1,16/02/2017,17/02/2017,21/05/2018,Mwantimba,1,WET_P,958,-2.350156987,34.05000198,WET_W_1_2,21.5.2018,Pasture,The tri,Trasnplant,Open,4.5,50,47,95,85,4,10,47,0,0,0,0,6.38,0.87,8.93,2,5cm,133.5,39.8729,38.8596,2.1324,6.31,12.6,5,69.27211801,1.11780408,0.538882983
WET_P_1_2,17/02/2017,17/02/2017,21/05/2018,Mwantimba,1,WET_P,958,-2.350156987,34.05000198,WET_P_2_2,21.5.2018,Pasture,Chr ori,Trasnplant,Open,1.3,15,6,90,8,4,4,0,0,6,6,0,8.62,2.33,8.2,1.77,5cm,107.01,39.8853,38.9494,0.7362,5.67,12,5,69.27211801,0.38591604,0.554729378
WET_P_1_3,19/02/2017,23/02/2017,21/05/2018,Mwantimba,1,WET_P,958,-2.350156987,34.05000198,DRY_W_2_2,21.5.2018,Pasture,Cyn dac,Trasnplant,Open,2.5,14,12,97,3,23,9,0,0,0,1,12,9.63,2.9,5.51,0.24,5cm,63.51,40.6405,37.7105,0.1014,6.41,10.5,5,69.27211801,0.05315388,0.543335204
WET_P_1_4,21/02/2017,24/02/2017,21/05/2018,Mwantimba,1,WET_P,958,-2.350156987,34.05000198,DRY_P_1_2,21.5.2018,Pasture,Chl pyc,Trasnplant,Open,3.2,40,29,97,0,19,5,0,0,0,29,0,9.29,2.98,,,5cm,114.41,39.7169,38.8006,1.5215,,13,5,69.27211801,0.7975703,0.544422727
WET_P_1_5,21/02/2017,24/02/2017,21/05/2018,Mwantimba,1,WET_P,958,-2.350156987,34.05000198,WET_P_1_5,21.5.2018,Pasture,Chr ori,Control,Open,2.1,25,22,97,95,5,4,0,0,22,0,0,8.89,2.6,,,5cm,71.69,42.3902,41.101,0.8909,5.93,12,5,69.27211801,0.46700978,0.584405737
WET_P_2_1,16/02/2017,17/02/2017,21/05/2018,Mwantimba,2,WET_P,960,-2.348458981,34.05039702,WET_W_2_2,21.5.2018,Pasture,The tri,Trasnplant,Open,6.8,50,35,90,45,14,33,35,0,0,0,0,13.1,3.55,12.33,2.61,5cm,46.62,41.8614,40.8851,0.6854,5.62,15,5,69.27211801,0.35928668,0.583341291
WET_P_2_2,17/02/2017,17/02/2017,21/05/2018,Mwantimba,2,WET_P,960,-2.348458981,34.05039702,WET_P_1_1,21.5.2018,Pasture,Chr ori,Trasnplant,Open,1.4,20,9,90,80,21,41,0,0,9,0,0,8.62,1.55,10.04,2.81,5cm,60.83,40.4793,39.6502,1.0247,5.85,13.5,5,69.27211801,0.53714774,0.561948304
WET_P_2_3,19/02/2017,23/02/2017,21/05/2018,Mwantimba,2,WET_P,960,-2.348458981,34.05039702,DRY_W_1_2,21.5.2018,Pasture,Cyn dac,Trasnplant,Open,2.2,29,15,90,0,20,25,0,0,0,0,15,14.4,3.55,,,5cm,63.46,40.5281,39.5436,2.3511,6.24,12,5,69.27211801,1.23244662,0.546629624
WET_P_2_4,21/02/2017,24/02/2017,21/05/2018,Mwantimba,2,WET_P,960,-2.348458981,34.05039702,DRY_P_2_2,21.5.2018,Pasture,Chl pyc,Trasnplant,Open,5.8,30,10,80,3,23,38,0,0,0,10,0,12.54,1.83,6.03,0.28,5cm,49,31.4733,30.9294,2.2637,6.12,15,5,69.27211801,1.18663154,0.421025118
WET_P_2_5,21/02/2017,24/02/2017,21/05/2018,Mwantimba,2,WET_P,960,-2.348458981,34.05039702,WET_P_2_5,21.5.2018,Pasture,Chr ori,Control,Open,1.6,25,10,80,70,14,39,0,0,10,12,0,,,,,5cm,64.99,39.5938,39.0344,1.1051,6.28,13,5,69.27211801,0.57929342,0.552158107
WET_P_3_1,20/02/2017,23/02/2017,21/05/2018,Mwantimba,3,WET_P,1021,-2.367334021,34.06259201,DRY_W_4_2,21.5.2018,Pasture,Cyn dac,Trasnplant,Open,4.3,40,22,95,10,28,29,0,0,0,0,22,12.18,2.88,10.43,1.5,5cm,71.21,32.2782,31.6217,0.1491,5.85,11,5,69.27211801,0.07815822,0.45484606
WET_P_3_2,20/02/2017,23/02/2017,21/05/2018,Mwantimba,3,WET_P,1021,-2.367334021,34.06259201,DRY_P_4_2,21.5.2018,Pasture,Chl pyc,Trasnplant,Open,5.7,30,8,75,0,29,32,0,0,0,8,0,17.08,4.67,,,5cm,96.73,41.1618,39.7297,0.3766,6.24,11.4,5,69.27211801,0.19741372,0.569717966
WET_P_3_3,20/02/2017,23/02/2017,21/05/2018,Mwantimba,3,WET_P,1021,-2.367334021,34.06259201,DRY_W_3_2,21.5.2018,Pasture,Cyn dac,Trasnplant,Open,3.2,50,30,80,65,17,32,0,0,0,0,30,13.09,3.47,11.32,1.88,5cm,74.66,38.8995,37.5936,1.0375,6.15,9.5,5,69.27211801,0.5438575,0.531893281
WET_P_3_4,20/02/2017,24/02/2017,21/05/2018,Mwantimba,3,WET_P,1021,-2.367334021,34.06259201,DRY_P_3_2,21.5.2018,Pasture,Chl pyc,Trasnplant,Open,3.5,40,32,98,90,53,47,0,0,0,32,0,11.62,2.41,15.51,5.71,5cm,98.39,38.9029,37.8759,5.5995,6.38,11.5,5,69.27211801,2.9352579,0.486553026
WET_P_3_5,20/02/2017,24/02/2017,21/05/2018,Mwantimba,3,WET_P,1021,-2.367334021,34.06259201,WET_P_3_5,21.5.2018,Pasture,Chr ori,Control,Open,1.3,40,30,75,45,17,32,0,0,30,10,0,,,,,5cm,103.62,34.6466,33.5715,0.6814,6.34,11,5,69.27211801,0.35718988,0.477256538
WET_P_4_1,16/02/2017,17/02/2017,21/05/2018,Mwantimba,4,WET_P,1019,-2.368505979,34.06260199,WET_W_3_2,21.5.2018,Pasture,The tri,Trasnplant,Open,5.5,45,40,90,0,42,59,40,0,0,0,0,16.7,3.42,,,5cm,92.48,40.1078,38.3272,0.4604,6.21,10,5,69.27211801,0.24134168,0.548549531
WET_P_4_2,17/02/2017,20/02/2017,21/05/2018,Mwantimba,4,WET_P,1019,-2.368505979,34.06260199,WET_P_3_2,21.5.2018,Pasture,Chr ori,Trasnplant,Open,1.8,50,42,85,0,21,49,0,0,42,7,0,16.92,4.43,,,5cm,81.33,32.1995,29.8575,0.1844,6.32,10.5,5,69.27211801,0.09666248,0.428954168
WET_P_4_3,23/02/2017,23/02/2017,21/05/2018,Mwantimba,4,WET_P,1019,-2.368505979,34.06260199,WET_W_4_2,21.5.2018,Pasture,The tri,Trasnplant,Open,,35,20,90,0,56,54,20,5,0,0,0,14.27,4.36,,,5cm,64.03,34.1471,33.3741,1.9846,5.79,9.5,5,69.27211801,1.04032732,0.460042155
WET_P_4_4,17/02/2017,23/02/2017,21/05/2018,Mwantimba,4,WET_P,1019,-2.368505979,34.06260199,WET_P_4_2,21.5.2018,Pasture,Chr ori,Trasnplant,Open,2.8,25,20,,,,,0,0,20,5,0,,,,,,,,,,,,,,,
WET_P_4_5,17/02/2017,23/02/2017,21/05/2018,Mwantimba,4,WET_P,1019,-2.368505979,34.06260199,WET_P_4_5,21.5.2018,Pasture,Chr ori,Control,Open,1.7,40,33,,,,,0,0,33,7,0,22.6,7.54,,,,,,,,,,,,,
WET_W_1_1,16/02/2017,16/02/2017,22/05/2018,Handajega,1,WET_W,955,-2.272336967,34.02335901,WET_W_2_1,22.5.2018,Wild,The tri,Trasnplant,Open,6.7,50,25,80,35,35,38,25,10,0,0,0,15.11,4.28,22.03,8.72,5cm,98.74,41.7654,40.9971,1.6639,5.69,13.2,5,69.27211801,0.87221638,0.575047611
WET_W_1_2,17/02/2017,17/02/2017,22/05/2018,Handajega,1,WET_W,955,-2.272336967,34.02335901,WET_P_1_2,22.5.2018,Wild,Chr ori,Trasnplant,Open,1.3,15,5,10,0,25,66,0,0,5,5,0,9.63,2.7,,,5cm,84.87,39.6147,38.6455,1.6461,5.71,12,5,69.27211801,0.86288562,0.540853898
WET_W_1_3,19/02/2017,24/02/2017,22/05/2018,Handajega,1,WET_W,955,-2.272336967,34.02335901,DRY_W_2_1,22.5.2018,Wild,Cyn dac,Trasnplant,Open,2.2,25,13,20,13,67,143,0,0,0,0,13,6.15,0.55,17.48,8.54,5cm,30.78,30.6903,28.2806,0.018,6.37,10,5,69.27211801,0.0094356,0.408049458
WET_W_1_4,21/02/2017,24/02/2017,22/05/2018,Handajega,1,WET_W,955,-2.272336967,34.02335901,DRY_P_1_1,22.5.2018,Wild,Chl pyc,Trasnplant,Open,3.7,20,9,20,0,19,116,0,0,0,9,3,10.04,3.02,,,5cm,49.28,41.6721,40.8625,2.8269,5.99,13,5,69.27211801,1.48186098,0.561077678
WET_W_1_5,21/02/2017,24/02/2017,22/05/2018,Handajega,1,WET_W,955,-2.272336967,34.02335901,WET_W_1_5,22.5.2018,Wild,The tri,Control,Open,4.3,75,75,85,85,59,79,75,0,0,0,0,,,54.12,17.32,5cm,77.47,39.7695,38.9525,1.604,5.51,12.5,5,69.27211801,0.8408168,0.545780941
WET_W_2_1,16/02/2017,16/02/2017,22/05/2018,Handajega,2,WET_W,956,-2.278161971,34.02460003,WET_W_1_1,22.5.2018,Wild,The tri,Trasnplant,Open,6,55,53,70,5,46,85,53,2,0,0,0,42.77,16.18,7.1,1.39,5cm,82.56,40.0608,39.2228,1.0071,5.56,14,5,69.27211801,0.52792182,0.555911657
WET_W_2_2,17/02/2017,17/02/2017,22/05/2018,Handajega,2,WET_W,956,-2.278161971,34.02460003,WET_P_2_1,22.5.2018,Wild,Chr ori,Trasnplant,Open,1.7,10,8,35,2,17,58,0,0,8,0,0,11.85,2.18,5.36,0.16,5cm,107.98,42.1069,41.1743,2.3511,6.11,11.5,5,69.27211801,1.23244662,0.570596524
WET_W_2_3,19/02/2017,24/02/2017,22/05/2018,Handajega,2,WET_W,956,-2.278161971,34.02460003,DRY_W_1_1,22.5.2018,Wild,Cyn dac,Trasnplant,Open,2.6,30,25,20,18,62,60,0,0,0,1,25,8.38,1.68,15.26,7.46,5cm,59.91,39.9183,37.2011,0.4924,6.69,13,5,69.27211801,0.25811608,0.531902208
WET_W_2_4,21/02/2017,24/02/2017,22/05/2018,Handajega,2,WET_W,956,-2.278161971,34.02460003,DRY_P_2_1,22.5.2018,Wild,Chl pyc,Trasnplant,Open,3.2,25,22,30,0,46,54,0,0,0,22,0,33.07,7.09,,,5cm,123.43,39.9332,39.3569,2.6895,6.05,13.5,5,69.27211801,1.4098359,0.540320762
WET_W_2_5,21/02/2017,24/02/2017,22/05/2018,Handajega,2,WET_W,956,-2.278161971,34.02460003,WET_W_2_5,22.5.2018,Wild,The tri,Control,Open,7.6,65,65,80,2,69,62,65,0,0,0,0,37.42,9.81,9.97,0.97,5cm,101.72,39.5168,38.7192,1.2879,5.61,12,5,69.27211801,0.67511718,0.545669629
WET_W_3_1,16/02/2017,16/02/2017,22/05/2018,Handajega,3,WET_W,952,-2.277948987,34.02770201,WET_W_4_1,22.5.2018,Wild,The tri,Trasnplant,Open,6,70,40,45,15,13,30,40,0,0,0,0,10.72,3.12,8.06,1.88,5cm,63.42,31.4995,30.9854,0.7655,5.81,12,5,69.27211801,0.4012751,0.438790912
WET_W_3_2,17/02/2017,20/02/2017,22/05/2018,Handajega,3,WET_W,952,-2.277948987,34.02770201,WET_P_3_1,22.5.2018,Wild,Chr ori,Trasnplant,Open,1.5,45,40,3,0,3,34,0,0,40,5,0,6.79,0.96,,,5cm,94.82,47.7795,46.2281,12.6105,6.1,9.4,5,69.27211801,6.6104241,0.536493636
WET_W_3_3,20/02/2017,24/02/2017,22/05/2018,Handajega,3,WET_W,952,-2.277948987,34.02770201,DRY_W_3_1,22.5.2018,Wild,Cyn dac,Trasnplant,Open,1.8,15,4,10,0,15,51,0,0,0,2,4,6.83,1.12,,,5cm,75.82,34.5171,32.3427,0.0503,7.41,12,5,69.27211801,0.02636726,0.466344861
WET_W_3_4,20/02/2017,24/02/2017,22/05/2018,Handajega,3,WET_W,952,-2.277948987,34.02770201,DRY_P_3_1,22.5.2018,Wild,Chl pyc,Trasnplant,Open,2.7,45,12,20,0,26,35,0,0,0,12,0,12.7,2.13,,,5cm,58.88,40.1949,39.1612,1.4206,6.03,12,5,69.27211801,0.74467852,0.550737052
WET_W_3_5,20/02/2017,24/02/2017,22/05/2018,Handajega,3,WET_W,952,-2.277948987,34.02770201,WET_W_3_5,22.5.2018,Wild,The tri,Control,Open,5.2,50,40,95,92,24,21,40,0,0,0,0,6.36,1.32,34.16,6.43,5cm,82.63,20.1412,19.7463,0.1337,5.95,14.7,5,69.27211801,0.07008554,0.283410751
WET_W_4_1,16/02/2017,16/02/2017,22/05/2018,Handajega,4,WET_W,949,-2.278803019,34.03195297,WET_W_3_1,22.5.2018,Wild,The tri,Trasnplant,Open,5.5,60,30,75,20,25,81,30,0,0,0,0,11.02,1.83,33.64,9.05,5cm,121.25,46.0656,44.9182,2.0075,5.84,12,5,69.27211801,1.0523315,0.629006659
WET_W_4_2,23/02/2017,24/02/2017,22/05/2018,Handajega,4,WET_W,949,-2.278803019,34.03195297,WET_P_4_1,22.5.2018,Wild,Chr ori,Trasnplant,Open,2.5,15,12,2,0,12,97,0,0,12,3,0,6.2,0.93,,,5cm,94.54,51.4743,48.1433,0.3928,6.38,11,5,69.27211801,0.20590576,0.691372792
