Current.placement.of.the.turf,Site,Block,Placement,Source.ID,date,Landuse,Tagsp,Trasnplant,Treatment,InitialVegH,InitialVegCover,InitialTagSpcover,FilVegCover,FilTagspCover,FilVegH,Average.H.outside,Themeda.triandra,Digitaria.macroblephara,Crysochloa.orientalis,Chloris.pycnothris,Cynodon.dactylon,Other.weight.g,Other.subsample.wt.g,Target.weight.g,Target.subsample.wt.g
WET_W_2_2,Handajega,2,WET_W,WET_P_2_1,22.5.2018,Wild,Chr ori,Trasnplant,Open,1.7,10,8,35,2,17,58,0,0,8,0,0,11.85,2.18,5.36,0.16
WET_W_2_3,Handajega,2,WET_W,DRY_W_1_1,22.5.2018,Wild,Cyn dac,Trasnplant,Open,2.6,30,25,20,18,62,60,0,0,0,1,25,8.38,1.68,15.26,7.46
WET_W_2_4,Handajega,2,WET_W,DRY_P_2_1,22.5.2018,Wild,Chl pyc,Trasnplant,Open,3.2,25,22,30,0,46,54,0,0,0,22,0,33.07,7.09,,
WET_W_2_5,Handajega,2,WET_W,WET_W_2_5,22.5.2018,Wild,The tri,Control,Open,7.6,65,65,80,2,69,62,65,0,0,0,0,37.42,9.81,9.97,0.97
WET_W_3_1,Handajega,3,WET_W,WET_W_4_1,22.5.2018,Wild,The tri,Trasnplant,Open,6,70,40,45,15,13,30,40,0,0,0,0,10.72,3.12,8.06,1.88
WET_W_3_2,Handajega,3,WET_W,WET_P_3_1,22.5.2018,Wild,Chr ori,Trasnplant,Open,1.5,45,40,3,0,3,34,0,0,40,5,0,6.79,0.96,,
WET_W_3_3,Handajega,3,WET_W,DRY_W_3_1,22.5.2018,Wild,Cyn dac,Trasnplant,Open,1.8,15,4,10,0,15,51,0,0,0,2,4,6.83,1.12,,
WET_W_3_4,Handajega,3,WET_W,DRY_P_3_1,22.5.2018,Wild,Chl pyc,Trasnplant,Open,2.7,45,12,20,0,26,35,0,0,0,12,0,12.7,2.13,,
WET_W_3_5,Handajega,3,WET_W,WET_W_3_5,22.5.2018,Wild,The tri,Control,Open,5.2,50,40,95,92,24,21,40,0,0,0,0,6.36,1.32,34.16,6.43
WET_W_4_1,Handajega,4,WET_W,WET_W_3_1,22.5.2018,Wild,The tri,Trasnplant,Open,5.5,60,30,75,20,25,81,30,0,0,0,0,11.02,1.83,33.64,9.05
WET_W_4_2,Handajega,4,WET_W,WET_P_4_1,22.5.2018,Wild,Chr ori,Trasnplant,Open,2.5,15,12,2,0,12,97,0,0,12,3,0,6.2,0.93,,
WET_W_4_3,Handajega,4,WET_W,DRY_W_4_1,22.5.2018,Wild,Cyn dac,Trasnplant,Open,2,15,7,30,5,55,108,0,0,0,0,7,21.93,10.96,10.3,2.15
WET_W_4_4,Handajega,4,WET_W,DRY_P_4_1,22.5.2018,Wild,Chl pyc,Trasnplant,Open,3.5,40,29,10,0,15,73,0,0,0,29,0,7.75,2.04,,
WET_W_4_5,Handajega,4,WET_W,WET_W_4_5,22.5.2018,Wild,The tri,Control,Open,6,45,42,85,55,63,88,42,0,0,0,0,6.28,0.52,48.75,13.7
