Current placement of the turf,Placement,Source ID ,Tagsp,InitialVegH,InitialVegCover (%),InitialTagSpcover,FinalVegCover,FinalTagspCover,FinalVegH,Average H outside,Themeda triandra (%) ,Digitaria macroblephara (%),Crysochloa orientalis (%) ,Chloris pycnothris (%),Cynodon dactylon
WET_P_1_3,WET_P,DRY_W_2_2,Cyn dac,2.5,14,12,97,3,23,9,0,0,0,1,12
DRY_W_1_3,DRY_W,DRY_W_2_3,Cyn dac,4.5,30,18,50,10,30,32,0,0,0,5,18
DRY_P_2_3,DRY_P,DRY_W_2_4,Cyn dac,2.2,25,13,35,5,27,33,0,0,0,0,13
DRY_W_2_5,DRY_W,DRY_W_2_5,Cyn dac,4.0,30,18,,,,,0,0,0,3,18
WET_W_3_3,WET_W,DRY_W_3_1,Cyn dac,1.8,15,4,10,0,15,51,0,0,0,2,4
WET_P_3_3,WET_P,DRY_W_3_2,Cyn dac,3.2,50,30,80,65,17,32,0,0,0,0,30
DRY_W_4_3,DRY_W,DRY_W_3_3,Cyn dac,2.3,35,17,75,60,6,6,0,0,0,0,17
DRY_P_3_3,DRY_P,DRY_W_3_4,Cyn dac,1.2,45,22,95,0,47,58,0,0,0,0,22
DRY_W_3_5,DRY_W,DRY_W_3_5,Cyn dac,2.2,45,30,25,23,1,1,0,0,0,0,30
WET_W_4_3,WET_W,DRY_W_4_1,Cyn dac,2.0,15,7,30,5,55,108,0,0,0,0,7
WET_P_3_1,WET_P,DRY_W_4_2,Cyn dac,4.3,40,22,95,10,28,29,0,0,0,0,22
DRY_W_3_3,DRY_W,DRY_W_4_3,Cyn dac,5.0,25,23,55,20,3,2,0,0,0,0,23
DRY_P_4_3,DRY_P,DRY_W_4_4,Cyn dac,3.0,35,20,80,15,12,32,0,0,0,0,20
DRY_W_4_5,DRY_W,DRY_W_4_5,Cyn dac,4.2,35,25,56,50,4,1,0,0,0,0,25
CG_WET_W_1_1,WET_W,SE_1_EX_1,Dig mac,4.0,30,27,45,20,61,71,0,27,0,0,0
CG_WET_P_1_1,WET_P,SE_1_EX_2,Dig mac,3.1,40,36,75,0,5,20,0,36,0,0,0
CG_DRY_W_1_1,DRY_W,SE_1_EX_3,Dig mac,3.3,40,39,15,0,36,31,0,39,0,0,0
CG_DRY_P_1_1,DRY_P,SE_1_EX_4,Dig mac,4.9,50,45,45,0,19,21,0,45,0,0,0
SE_1_EX_5,SE_EX,SE_1_EX_5,Dig mac,4.2,15,14,80,70,48,59,0,14,0,0,0
CG_WET_W_1_2,WET_W,SE_1_OP_1,Dig mac,8.0,30,20,50,35,35,70,0,20,0,0,0
CG_WET_P_1_2,WET_P,SE_1_OP_2,Dig mac,2.7,18,9,70,2,7,3,0,9,0,0,0
CG_DRY_W_1_2,DRY_W,SE_1_OP_3,Dig mac,2.3,30,25,90,80,16,35,0,25,0,0,0
CG_DRY_P_1_2,DRY_P,SE_1_OP_4,Dig mac,3.0,40,26,25,3,11,25,1,26,0,0,0
SE_1_OP_5,SE_OP,SE_1_OP_5,Dig mac,3.0,20,18,30,20,27,35,0,18,0,0,0
CG_WET_W_2_2,WET_W,SE_2_EX_1,Dig mac,3.2,45,40,97,10,24,75,2,40,0,0,0
CG_WET_P_2_1,WET_P,SE_2_EX_2,Dig mac,3.5,45,38,90,2,25,37,2,38,0,0,0
CG_DRY_W_2_1,DRY_W,SE_2_EX_3,Dig mac,2.2,20,16,10,10,7,12,0,16,0,0,0
CG_DRY_P_2_1,DRY_P,SE_2_EX_4,Dig mac,3.0,45,38,30,10,13,17,0,38,0,0,0
SE_2_EX_5,SE_EX,SE_2_EX_5,Dig mac,3.1,55,10,95,0,36,50,0,10,0,0,0
CG_WET_W_2_1,WET_W,SE_2_OP_1,Dig mac,3.9,12,7,65,20,17,51,1,7,0,0,0
CG_WET_P_2_2,WET_P,SE_2_OP_2,Dig mac,2.7,25,12,97,20,38,32,0,12,0,0,0
CG_DRY_W_2_2,DRY_W,SE_2_OP_3,Dig mac,2.7,25,14,20,10,43,46,2,14,0,0,0
CG_DRY_P_2_2,DRY_P,SE_2_OP_4,Dig mac,3.0,25,14,40,0,18,12,2,14,0,0,0
SE_2_OP_5,SE_OP,SE_2_OP_5,Dig mac,2.2,15,4,55,0,34,21,0,4,0,0,0
CG_WET_W_3_1,WET_W,SE_3_EX_1,Dig mac,2.9,45,22,80,15,26,68,1,22,0,0,0
CG_WET_P_3_1,WET_P,SE_3_EX_2,Dig mac,2.8,50,44,,,,,2,44,0,0,0
CG_DRY_W_3_1,DRY_W,SE_3_EX_3,Dig mac,1.8,35,11,3,0,0,1,2,11,0,0,0
