"Current.placement.of.the.turf.x","Site.x","Block.x","Placement","Source.ID","Landuse.x","Tagsp.x","InitialVegH","InitialVegCover....","InitialTagSpcover","FinalVegCover","FinalTagspCover","FinalVegH","Average.H.outside","Themeda.triandra....","Digitaria.macroblephara....","Crysochloa.orientalis....","Chloris.pycnothris....","Cynodon.dactylon","fCurrent.placement.of.the.turf","Current.placement.of.the.turf.y","Block.y","aspect","Tagsp.y","Site.y","Landuse.y","Other.weight.g","Other.subsample.wt.g","date","Target.weight.g","Target.subsample.wt.g"
"SE_3_OP_3","Seronera",3,"SE_OP","CG_WET_W_4_2","Wild","The tri",8,50,44,45,0,37,89,44,5,0,0,0,"SE_3_OP_3","SE_3_OP_3",3,"","","Seronera","Wild",31.08,5.26,"19.5.2018",NA,NA
"SE_3_OP_4","Seronera",3,"SE_OP","CG_WET_W_4_1","Wild","The tri",3,40,38,10,1,46,87,38,0,0,0,0,"SE_3_OP_4","SE_3_OP_4",3,"","Chl.pyc","Seronera","Wild",17.38,8.98,"19.5.2018",6.06,0.68
"SE_3_OP_5","Seronera",3,"SE_OP","SE_3_OP_5","Wild","Dig mac",2.6,25,12,98,0,52,81,0,12,0,0,5,"SE_3_OP_5","SE_3_OP_5",3,"","","Seronera","Wild",61.98,22.39,"19.5.2018",NA,NA
"SE_4_EX_1","Seronera",4,"SE_EX","CG_DRY_P_2_1","Wild","Chl pyc",3.2,10,7,90,80,91,93,0,0,0,7,3,"SE_4_EX_1","SE_4_EX_1",4,"","Dig.mac","Seronera","Wild",8.67,2.77,"19.5.2018",78.36,14.38
"SE_4_EX_2","Seronera",4,"SE_EX","CG_DRY_W_1_2","Wild","Cyn dac",2.5,29,22,5,0,29,92,0,0,0,0,22,"SE_4_EX_2","SE_4_EX_2",4,"","","Seronera","Wild",6.4,1.28,"19.5.2018",NA,NA
"SE_4_EX_3","Seronera",4,"SE_EX","CG_WET_W_3_2","Wild","The tri",7.2,65,45,10,2,40,82,45,0,0,0,0,"SE_4_EX_3","SE_4_EX_3",4,"","","Seronera","Wild",15.01,5.71,"19.5.2018",NA,NA
"SE_4_EX_4","Seronera",4,"SE_EX","CG_WET_W_3_1","Wild","The tri",7,50,43,30,0,25,88,43,0,0,0,0,"SE_4_EX_4","SE_4_EX_4",4,"","","Seronera","Wild",7.43,1.22,"19.5.2018",NA,NA
"SE_4_EX_5","Seronera",4,"SE_EX","SE_4_EX_5","Wild","Dig mac",2,25,25,95,60,79,86,0,25,0,0,0,"SE_4_EX_5","SE_4_EX_5",4,"","Dig.mac","Seronera","Wild",20.83,0.5,"19.5.2018",75.66,20.3
"SE_4_OP_1","Seronera",4,"SE_OP","CG_DRY_P_1_2","Wild","Chl pyc",4,25,10,20,0,41,63,0,0,0,10,0,"SE_4_OP_1","SE_4_OP_1",4,"","","Seronera","Wild",18.22,8.59,"19.5.2018",NA,NA
"SE_4_OP_2","Seronera",4,"SE_OP","CG_DRY_W_2_1","Wild","Cyn dac",2.8,20,10,55,0,25,76,0,0,0,0,10,"SE_4_OP_2","SE_4_OP_2",4,"","","Seronera","Wild",15.96,7.56,"19.5.2018",NA,NA
"SE_4_OP_3","Seronera",4,"SE_OP","CG_WET_W_1_1","Wild","The tri",6.3,60,60,1,0,4,86,60,0,0,0,0,"SE_4_OP_3","SE_4_OP_3",4,"","","Seronera","Wild",7.21,0.84,"19.5.2018",NA,NA
"SE_4_OP_4","Seronera",4,"SE_OP","CG_WET_W_1_2","Wild","The tri",6.3,55,53,1,0,2,77,53,0,0,0,0,"SE_4_OP_4","SE_4_OP_4",4,"","","Seronera","Wild",6.93,1.1,"19.5.2018",NA,NA
"SE_4_OP_5","Seronera",4,"SE_OP","SE_4_OP_5","Wild","Dig mac",2,15,6,80,0,54,98,6,6,0,0,0,"SE_4_OP_5","SE_4_OP_5",4,"","","Seronera","Wild",40.86,11.74,"19.5.2018",NA,NA
"WET_P_1_1","Mwantimba",1,"WET_P","WET_W_1_2","Pasture","The tri",4.5,50,47,95,85,4,10,47,0,0,0,0,"WET_P_1_1","WET_P_1_1",1,"","Cry.ori","Mwantimba","Pasture",6.38,0.87,"21.5.2018",8.93,2
"WET_P_1_2","Mwantimba",1,"WET_P","WET_P_2_2","Pasture","Chr ori",1.3,15,6,90,8,4,4,0,0,6,6,0,"WET_P_1_2","WET_P_1_2",1,"","The.tri","Mwantimba","Pasture",8.62,2.33,"21.5.2018",8.2,1.77
"WET_P_1_3","Mwantimba",1,"WET_P","DRY_W_2_2","Pasture","Cyn dac",2.5,14,12,97,3,23,9,0,0,0,1,12,"WET_P_1_3","WET_P_1_3",1,"","Cyn.dac","Mwantimba","Pasture",9.63,2.9,"21.5.2018",5.51,0.24
"WET_P_1_4","Mwantimba",1,"WET_P","DRY_P_1_2","Pasture","Chl pyc",3.2,40,29,97,0,19,5,0,0,0,29,0,"WET_P_1_4","WET_P_1_4",1,"","","Mwantimba","Pasture",9.29,2.98,"21.5.2018",NA,NA
"WET_P_1_5","Mwantimba",1,"WET_P","WET_P_1_5","Pasture","Chr ori",2.1,25,22,97,55,5,4,0,0,22,0,0,"WET_P_1_5","WET_P_1_5",1,"","","Mwantimba","Pasture",8.89,2.6,"21.5.2018",NA,NA
"WET_P_2_1","Mwantimba",2,"WET_P","WET_W_2_2","Pasture","The tri",6.8,50,35,90,45,14,33,35,0,0,0,0,"WET_P_2_1","WET_P_2_1",2,"","The.tri","Mwantimba","Pasture",13.1,3.55,"21.5.2018",12.33,2.61
"WET_P_2_2","Mwantimba",2,"WET_P","WET_P_1_1","Pasture","Chr ori",1.4,20,9,90,80,21,41,0,0,9,0,0,"WET_P_2_2","WET_P_2_2",2,"","Cry.ori","Mwantimba","Pasture",8.62,1.55,"21.5.2018",10.04,2.81
"WET_P_2_3","Mwantimba",2,"WET_P","DRY_W_1_2","Pasture","Cyn dac",2.2,29,15,90,0,20,25,0,0,0,0,15,"WET_P_2_3","WET_P_2_3",2,"","","Mwantimba","Pasture",14.4,3.55,"21.5.2018",NA,NA
"WET_P_2_4","Mwantimba",2,"WET_P","DRY_P_2_2","Pasture","Chl pyc",5.8,30,10,80,3,23,38,0,0,0,10,0,"WET_P_2_4","WET_P_2_4",2,"","Chl.pyc","Mwantimba","Pasture",12.54,1.83,"21.5.2018",6.03,0.28
"WET_P_2_5","Mwantimba",2,"WET_P","WET_P_2_5","Pasture","Chr ori",1.6,25,10,80,70,14,39,0,0,10,12,0,"WET_P_2_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WET_P_3_1","Mwantimba",3,"WET_P","DRY_W_4_2","Pasture","Cyn dac",4.3,40,22,95,10,28,29,0,0,0,0,22,"WET_P_3_1","WET_P_3_1",3,"","The.tri","Mwantimba","Pasture",12.18,2.88,"21.5.2018",10.43,1.5
"WET_P_3_2","Mwantimba",3,"WET_P","DRY_P_4_2","Pasture","Chl pyc",5.7,30,8,75,0,29,32,0,0,0,8,0,"WET_P_3_2","WET_P_3_2",3,"","","Mwantimba","Pasture",17.08,4.67,"21.5.2018",NA,NA
"WET_P_3_3","Mwantimba",3,"WET_P","DRY_W_3_2","Pasture","Cyn dac",3.2,50,30,80,65,17,32,0,0,0,0,30,"WET_P_3_3","WET_P_3_3",3,"","Cyn.dac","Mwantimba","Pasture",13.09,3.47,"21.5.2018",11.32,1.88
"WET_P_3_4","Mwantimba",3,"WET_P","DRY_P_3_2","Pasture","Chl pyc",3.5,40,32,98,90,53,47,0,0,0,32,0,"WET_P_3_4","WET_P_3_4",3,"","Chl.pyc","Mwantimba","Pasture",11.62,2.41,"21.5.2018",15.51,5.71
"WET_P_3_5","Mwantimba",3,"WET_P","WET_P_3_5","Pasture","Chr ori",1.3,40,30,75,45,17,32,0,0,30,10,0,"WET_P_3_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WET_P_4_1","Mwantimba",4,"WET_P","WET_W_3_2","Pasture","The tri",5.5,45,40,90,0,42,59,40,0,0,0,0,"WET_P_4_1","WET_P_4_1",4,"","","Mwantimba","Pasture",16.7,3.42,"21.5.2018",NA,NA
"WET_P_4_2","Mwantimba",4,"WET_P","WET_P_3_2","Pasture","Chr ori",1.8,50,42,85,0,21,49,0,0,42,7,0,"WET_P_4_2","WET_P_4_2",4,"","","Mwantimba","Pasture",16.92,4.43,"21.5.2018",NA,NA
"WET_P_4_3","Mwantimba",4,"WET_P","WET_W_4_2","Pasture","The tri",NA,35,20,90,0,56,54,20,5,0,0,0,"WET_P_4_3","WET_P_4_3",4,"","The.tri","Mwantimba","Pasture",14.27,4.36,"21.5.2018",NA,NA
"WET_P_4_4","Mwantimba",4,"WET_P","WET_P_4_2","Pasture","Chr ori",2.8,25,20,NA,NA,NA,NA,0,0,20,5,0,"WET_P_4_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WET_P_4_5","Mwantimba",4,"WET_P","WET_P_4_5","Pasture","Chr ori",1.7,40,33,NA,NA,NA,NA,0,0,33,7,0,"WET_P_4_5","WET_P_4_5",4,"","","Mwantimba","Pasture",22.6,7.54,"21.5.2018",NA,NA
"WET_W_1_1","Handajega",1,"WET_W","WET_W_2_1","Wild","The tri",6.7,50,25,80,35,35,38,25,10,0,0,0,"WET_W_1_1","WET_W_1_1",1,"","The.tri","Handajega","Wild",15.11,4.28,"22.5.2018",22.03,8.72
"WET_W_1_2","Handajega",1,"WET_W","WET_P_1_2","Wild","Chr ori",1.3,15,5,10,0,25,66,0,0,5,5,0,"WET_W_1_2","WET_W_1_2",1,"","","Handajega","Wild",9.63,2.7,"22.5.2018",NA,NA
"WET_W_1_3","Handajega",1,"WET_W","DRY_W_2_1","Wild","Cyn dac",2.2,25,13,20,13,67,143,0,0,0,0,13,"WET_W_1_3","WET_W_1_3",1,"","Cyn.dac","Handajega","Wild",6.15,0.55,"22.5.2018",17.48,8.54
"WET_W_1_4","Handajega",1,"WET_W","DRY_P_1_1","Wild","Chl pyc",3.7,20,9,20,0,19,116,0,0,0,9,3,"WET_W_1_4","WET_W_1_4",4,"","The.tri","Handajega","Wild",10.04,3.02,"22.5.2018",NA,NA
"WET_W_1_5","Handajega",1,"WET_W","WET_W_1_5","Wild","The tri",4.3,75,75,85,85,59,79,75,0,0,0,0,"WET_W_1_5","WET_W_1_5",2,"","The.tri","Handajega","Wild",54.12,17.32,"22.5.2018",NA,NA
"WET_W_2_1","Handajega",2,"WET_W","WET_W_1_1","Wild","The tri",6,55,53,70,5,46,85,53,2,0,0,0,"WET_W_2_1","WET_W_2_1",2,"","The.tri","Handajega","Wild",42.77,16.18,"22.5.2018",7.1,1.39
"WET_W_2_2","Handajega",2,"WET_W","WET_P_2_1","Wild","Chr ori",1.7,10,8,35,2,17,58,0,0,8,0,0,"WET_W_2_2","WET_W_2_2",2,"","Cry.ori","Handajega","Wild",11.85,2.18,"22.5.2018",5.36,0.16
"WET_W_2_3","Handajega",2,"WET_W","DRY_W_1_1","Wild","Cyn dac",2.6,30,25,20,18,62,60,0,0,0,1,25,"WET_W_2_3","WET_W_2_3",2,"","Cyn.dac","Handajega","Wild",8.38,1.68,"22.5.2018",15.26,7.46
"WET_W_2_4","Handajega",2,"WET_W","DRY_P_2_1","Wild","Chl pyc",3.2,25,22,30,0,46,54,0,0,0,22,0,"WET_W_2_4","WET_W_2_4",2,"","","Handajega","Wild",33.07,7.09,"22.5.2018",NA,NA
"WET_W_2_5","Handajega",2,"WET_W","WET_W_2_5","Wild","The tri",7.6,65,65,80,2,69,62,65,0,0,0,0,"WET_W_2_5","WET_W_2_5",2,"","","Handajega","Wild",37.42,9.81,"22.5.2018",9.97,0.97
"WET_W_3_1","Handajega",3,"WET_W","WET_W_4_1","Wild","The tri",6,70,40,45,15,13,30,40,0,0,0,0,"WET_W_3_1","WET_W_3_1",3,"","The.tri","Handajega","Wild",10.72,3.12,"22.5.2018",8.06,1.88
"WET_W_3_2","Handajega",3,"WET_W","WET_P_3_1","Wild","Chr ori",1.5,45,40,3,0,3,34,0,0,40,5,0,"WET_W_3_2","WET_W_3_2",3,"","","Handajega","Wild",6.79,0.96,"22.5.2018",NA,NA
"WET_W_3_3","Handajega",3,"WET_W","DRY_W_3_1","Wild","Cyn dac",1.8,15,4,10,0,15,51,0,0,0,2,4,"WET_W_3_3","WET_W_3_3",3,"","","Handajega","Wild",6.83,1.12,"22.5.2018",NA,NA
"WET_W_3_4","Handajega",3,"WET_W","DRY_P_3_1","Wild","Chl pyc",2.7,45,12,20,0,26,35,0,0,0,12,0,"WET_W_3_4","WET_W_3_4",3,"","","Handajega","Wild",12.7,2.13,"22.5.2018",NA,NA
"WET_W_3_5","Handajega",3,"WET_W","WET_W_3_5","Wild","The tri",5.2,50,40,95,92,24,21,40,0,0,0,0,"WET_W_3_5","WET_W_3_5",3,"","The.tri","Handajega","Wild",6.36,1.32,"22.5.2018",34.16,6.43
"WET_W_4_1","Handajega",4,"WET_W","WET_W_3_1","Wild","The tri",5.5,60,30,75,20,25,81,30,0,0,0,0,"WET_W_4_1","WET_W_4_1",4,"","The.tri","Handajega","Wild",11.02,1.83,"22.5.2018",33.64,9.05
"WET_W_4_2","Handajega",4,"WET_W","WET_P_4_1","Wild","Chr ori",2.5,15,12,2,0,12,97,0,0,12,3,0,"WET_W_4_2","WET_W_4_2",4,"","","Handajega","Wild",6.2,0.93,"22.5.2018",NA,NA
"WET_W_4_3","Handajega",4,"WET_W","DRY_W_4_1","Wild","Cyn dac",2,15,7,30,5,55,108,0,0,0,0,7,"WET_W_4_3","WET_W_4_3",4,"","Cyn.dac","Handajega","Wild",21.93,10.96,"22.5.2018",10.3,2.15
"WET_W_4_4","Handajega",4,"WET_W","DRY_P_4_1","Wild","Chl pyc",3.5,40,29,10,0,15,73,0,0,0,29,0,"WET_W_4_4","WET_W_4_4",4,"","","Handajega","Wild",7.75,2.04,"22.5.2018",NA,NA
"WET_W_4_5","Handajega",4,"WET_W","WET_W_4_5","Wild","The tri",6,45,42,85,55,63,88,42,0,0,0,0,"WET_W_4_5","WET_W_4_5",4,"","The.tri","Handajega","Wild",6.28,0.52,"22.5.2018",48.75,13.7
