Current.placement.of.the.turf,Soil.depth,Sample_code,Site,date,weight.g,airdry.weight.g,ovendry.weight.g,weight.stones.g,pH.ID,pH,Total.depth.cm,Core.depth.cm,Vol.cm3,Stone.vol.cm3,BD.gcm3
SE_2_OP_4,5cm,SE_2_OP_4_5cm,Seronera,19.5.2018,111.31,29.1581,28.5792,1.9236,239,6.12,13.5,5,69.27211801,1.00835112,0.390479477
SE_2_OP_4,deep,SE_2_OP_4_deep,Seronera,19.5.2018,166.71,53.9007,52.7941,3.2708,240,5.89,13.5,8.5,117.7626006,1.71455336,0.426748241
SE_2_OP_5,5cm,SE_2_OP_5_5cm,Seronera,19.5.2018,109.01,30.6914,30.316,1.7156,241,5.8,14,5,69.27211801,0.89931752,0.418300842
SE_2_OP_5,deep,SE_2_OP_5_deep,Seronera,19.5.2018,177.34,54.4366,53.5585,6.9729,242,5.49,14,9,124.6898124,3.65519418,0.38489484
SE_3_EX_1,5cm,SE_3_EX_1_5cm,Seronera,19.5.2018,74.27,41.5576,40.7248,0.5099,243,5.77,15,5,69.27211801,0.26728958,0.582783856
SE_3_EX_1,deep,SE_3_EX_1_deep,Seronera,19.5.2018,164.8,38.9432,38.0594,0.9867,244,5.43,15,10,138.544236,0.51722814,0.268590188
SE_3_EX_2,5cm,SE_3_EX_2_5cm,Seronera,19.5.2018,75.88,40.3715,39.071,0.2699,245,6.49,13.5,5,69.27211801,0.14148158,0.561272136
SE_3_EX_2,deep,SE_3_EX_2_deep,Seronera,19.5.2018,184.66,38.1388,36.9102,9.3737,246,6.28,13.5,8.5,117.7626006,4.91369354,0.244012111
SE_3_EX_3,5cm,SE_3_EX_3_5cm,Seronera,19.5.2018,86.63,40.891,40.105,5.7716,247,6.68,11,5,69.27211801,3.02547272,0.518266244
SE_3_EX_3,deep,SE_3_EX_3_deep,Seronera,19.5.2018,144.56,40.0239,38.8039,7.4703,248,6.69,11,6,83.12654161,3.91593126,0.395573268
SE_3_EX_4,5cm,SE_3_EX_4_5cm,Seronera,19.5.2018,68.26,39.3969,36.708,0.1418,249,7.35,13,5,69.27211801,0.07433156,0.528430198
SE_3_EX_4,deep,SE_3_EX_4_deep,Seronera,19.5.2018,118.36,40.4788,37.2086,0.5334,250,7.24,13,8,110.8353888,0.27960828,0.331734802
SE_3_EX_5,5cm,SE_3_EX_5_5cm,Seronera,19.5.2018,67.89,40.5373,39.6326,1.4984,251,5.86,14,5,69.27211801,0.78546128,0.556812112
SE_3_EX_5,deep,SE_3_EX_5_deep,Seronera,19.5.2018,189.5,37.9103,36.9501,2.5767,252,5.67,14,9,124.6898124,1.35070614,0.278690198
SE_3_OP_1,5cm,SE_3_OP_1_5cm,Seronera,19.5.2018,82.95,42.1347,41.0455,0.638,253,5.66,13,5,69.27211801,0.3344396,0.586145355
SE_3_OP_1,deep,SE_3_OP_1_deep,Seronera,19.5.2018,161.8,39.8536,39.0752,1.1531,254,5.51,13,8,110.8353888,0.60445502,0.34402412
SE_3_OP_2,5cm,SE_3_OP_2_5cm,Seronera,19.5.2018,77.09,40.5501,39.4797,0.6139,255,6.11,13,5,69.27211801,0.32180638,0.563678381
SE_3_OP_2,deep,SE_3_OP_2_deep,Seronera,19.5.2018,173.94,33.5697,32.1053,1.1229,256,5.93,13,8,110.8353888,0.58862418,0.281027748
SE_3_OP_3,5cm,SE_3_OP_3_5cm,Seronera,19.5.2018,73.87,39.2994,37.3591,0.7315,257,7.14,12,5,69.27211801,0.3834523,0.53169269
SE_3_OP_3,deep,SE_3_OP_3_deep,Seronera,19.5.2018,122.89,41.8791,40.1431,3.0436,258,6.98,12,7,96.98096522,1.59545512,0.388942723
SE_3_OP_4,5cm,SE_3_OP_4_5cm,Seronera,19.5.2018,94.34,44.1193,43.1607,13.0577,259,6.64,13.5,5,69.27211801,6.84484634,0.482209124
SE_3_OP_4,deep,SE_3_OP_4_deep,Seronera,19.5.2018,197.49,45.4905,43.9441,8.5877,260,6.85,13.5,8.5,117.7626006,4.50167234,0.312167669
SE_3_OP_5,5cm,SE_3_OP_5_5cm,Seronera,19.5.2018,92.61,36.0029,35.0191,0.8313,261,6.37,13,5,69.27211801,0.43576746,0.49665329
SE_3_OP_5,deep,SE_3_OP_5_deep,Seronera,19.5.2018,157.62,55.1455,53.4588,3.771,262,5.87,13,8,110.8353888,1.9767582,0.456443368
SE_4_EX_1,5cm,SE_4_EX_1_5cm,Seronera,19.5.2018,92.56,39.4535,38.6455,1.3399,263,7.3,14,5,69.27211801,0.70237558,0.544053378
SE_4_EX_1,deep,SE_4_EX_1_deep,Seronera,19.5.2018,154.41,39.3578,37.9063,1.3612,264,5.73,14,9,124.6898124,0.71354104,0.294774956
SE_4_EX_2,5cm,SE_4_EX_2_5cm,Seronera,19.5.2018,57.7,40.3756,38.1767,0.6714,265,6.3,12.5,5,69.27211801,0.35194788,0.544184669
SE_4_EX_2,deep,SE_4_EX_2_deep,Seronera,19.5.2018,149.46,36.8454,34.4582,0.7774,266,6.21,12.5,7.5,103.908177,0.40751308,0.32541627
SE_4_EX_3,5cm,SE_4_EX_3_5cm,Seronera,19.5.2018,78.29,35.9208,34.0905,2.1447,267,7.27,10,5,69.27211801,1.12425174,0.46877183
SE_4_EX_3,deep,SE_4_EX_3_deep,Seronera,19.5.2018,89.59,50.5177,47.5857,6.2582,268,7.12,10,5,69.27211801,3.28054844,0.626254236
SE_4_EX_4,5cm,SE_4_EX_4_5cm,Seronera,19.5.2018,88.8,39.4684,38.6997,2.9857,269,6.98,12,5,69.27211801,1.56510394,0.527478585
SE_4_EX_4,deep,SE_4_EX_4_deep,Seronera,19.5.2018,151.79,40.4189,39.1075,2.426,270,7.18,12,7,96.98096522,1.2717092,0.383259692
SE_4_EX_5,5cm,SE_4_EX_5_5cm,Seronera,19.5.2018,77.08,39.312,38.2939,1.2058,271,6,13,5,69.27211801,0.63208036,0.540327501
SE_4_EX_5,deep,SE_4_EX_5_deep,Seronera,19.5.2018,164.92,39.729,38.6918,3.3193,272,5.85,13,8,110.8353888,1.73997706,0.324234534
SE_4_OP_1,5cm,SE_4_OP_1_5cm,Seronera,19.5.2018,97.58,39.5633,37.5126,0.6019,273,7.1,13,5,69.27211801,0.31551598,0.535274345
SE_4_OP_1,deep,SE_4_OP_1_deep,Seronera,19.5.2018,136.47,49.4024,47.2637,1.7769,274,6.99,13,8,110.8353888,0.93145098,0.4138778
SE_4_OP_2,5cm,SE_4_OP_2_5cm,Seronera,19.5.2018,120.58,40.2905,39.3489,3.1281,275,6.18,13,5,69.27211801,1.63975002,0.535554219
SE_4_OP_2,deep,SE_4_OP_2_deep,Seronera,19.5.2018,158.83,37.3436,36.1783,2.4676,276,5.81,13,8,110.8353888,1.29351592,0.307742593
SE_4_OP_3,5cm,SE_4_OP_3_5cm,Seronera,19.5.2018,108.89,40.3263,39.2561,4.4989,277,7.17,12,5,69.27211801,2.35832338,0.519432506
SE_4_OP_3,deep,SE_4_OP_3_deep,Seronera,19.5.2018,134.01,50.5233,48.8044,5.1024,278,7.33,12,7,96.98096522,2.67467808,0.463404947
SE_4_OP_4,5cm,SE_4_OP_4_5cm,Seronera,19.5.2018,98.9,41.5428,41.3064,1.8302,279,6.28,10,5,69.27211801,0.95939084,0.577874748
SE_4_OP_4,deep,SE_4_OP_4_deep,Seronera,19.5.2018,108.04,24.4031,23.3458,0.5559,280,6.22,10,5,69.27211801,0.29140278,0.330380744
SE_4_OP_5,5cm,SE_4_OP_5_5cm,Seronera,19.5.2018,87.09,42.0701,40.1492,0.8502,281,6.27,13,5,69.27211801,0.44567484,0.570986937
SE_4_OP_5,deep,SE_4_OP_5_deep,Seronera,19.5.2018,169.27,46.2049,45.0163,4.3218,282,5.97,13,8,110.8353888,2.26548756,0.374823036
WET_P_1_1,5cm,WET_P_1_1_5cm,Mwantimba,21.5.2018,133.5,39.8729,38.8596,2.1324,167,6.31,12.6,5,69.27211801,1.11780408,0.538882983
WET_P_1_1,deep,WET_P_1_1_deep,Mwantimba,21.5.2018,161.41,40.2344,38.8619,1.3038,168,6.33,12.6,7.6,105.2936194,0.68345196,0.359029155
WET_P_1_2,5cm,WET_P_1_2_5cm,Mwantimba,21.5.2018,107.01,39.8853,38.9494,0.7362,169,5.67,12,5,69.27211801,0.38591604,0.554729378
WET_P_1_2,deep,WET_P_1_2_deep,Mwantimba,21.5.2018,168.46,39.9045,39.1626,2.7713,170,5.96,12,7,96.98096522,1.45271546,0.380948045
WET_P_1_3,5cm,WET_P_1_3_5cm,Mwantimba,21.5.2018,63.51,40.6405,37.7105,0.1014,171,6.41,10.5,5,69.27211801,0.05315388,0.543335204
WET_P_1_3,deep,WET_P_1_3_deep,Mwantimba,21.5.2018,71.32,40.1426,36.8335,0.1033,172,6.44,10.5,5.5,76.19932981,0.05414986,0.482370651
WET_P_1_4,5cm,WET_P_1_4_5cm,Mwantimba,21.5.2018,114.41,39.7169,38.8006,1.5215,173,,13,5,69.27211801,0.7975703,0.544422727
WET_P_1_4,deep,WET_P_1_4_deep,Mwantimba,21.5.2018,168.3,39.6842,37.9123,0.8928,174,5.88,13,8,110.8353888,0.46800576,0.335420656
WET_P_1_5,5cm,WET_P_1_5_5cm,Mwantimba,21.5.2018,71.69,42.3902,41.101,0.8909,175,5.93,12,5,69.27211801,0.46700978,0.584405737
WET_P_1_5,deep,WET_P_1_5_deep,Mwantimba,21.5.2018,170.32,39.7483,38.0334,1.1445,176,6.02,12,7,96.98096522,0.5999469,0.382740301
WET_P_2_1,5cm,WET_P_2_1_5cm,Mwantimba,21.5.2018,46.62,41.8614,40.8851,0.6854,177,5.62,15,5,69.27211801,0.35928668,0.583341291
WET_P_2_1,deep,WET_P_2_1_deep,Mwantimba,21.5.2018,172.42,40.9371,39.8407,1.9405,178,6.17,15,10,138.544236,1.0172101,0.275583652
WET_P_2_2,5cm,WET_P_2_2_5cm,Mwantimba,21.5.2018,60.83,40.4793,39.6502,1.0247,179,5.85,13.5,5,69.27211801,0.53714774,0.561948304
WET_P_2_2,deep,WET_P_2_2_deep,Mwantimba,21.5.2018,156.09,29.3597,28.3972,0.4114,180,6.01,13.5,8.5,117.7626006,0.21565588,0.2380819
WET_P_2_3,5cm,WET_P_2_3_5cm,Mwantimba,21.5.2018,63.46,40.5281,39.5436,2.3511,181,6.24,12,5,69.27211801,1.23244662,0.546629624
WET_P_2_3,deep,WET_P_2_3_deep,Mwantimba,21.5.2018,183.09,41.2474,39.2611,1.7515,182,6.15,12,7,96.98096522,0.9181363,0.39046945
WET_P_2_4,5cm,WET_P_2_4_5cm,Mwantimba,21.5.2018,49,31.4733,30.9294,2.2637,183,6.12,15,5,69.27211801,1.18663154,0.421025118
WET_P_2_4,deep,WET_P_2_4_deep,Mwantimba,21.5.2018,198.06,25.3727,24.8691,1.2114,184,6.44,15,10,138.544236,0.63501588,0.171545456
WET_P_2_5,5cm,WET_P_2_5_5cm,Mwantimba,21.5.2018,64.99,39.5938,39.0344,1.1051,185,6.28,13,5,69.27211801,0.57929342,0.552158107
WET_P_2_5,deep,WET_P_2_5_deep,Mwantimba,21.5.2018,205.56,39.4568,38.7639,2.6182,186,6.37,13,8,110.8353888,1.37246044,0.330209511
WET_P_3_1,5cm,WET_P_3_1_5cm,Mwantimba,21.5.2018,71.21,32.2782,31.6217,0.1491,187,5.85,11,5,69.27211801,0.07815822,0.45484606
WET_P_3_1,deep,WET_P_3_1_deep,Mwantimba,21.5.2018,117.26,32.4912,31.8902,0.4725,164,5.52,11,6,83.12654161,0.2476845,0.379079793
WET_P_3_2,5cm,WET_P_3_2_5cm,Mwantimba,21.5.2018,96.73,41.1618,39.7297,0.3766,188,6.24,11.4,5,69.27211801,0.19741372,0.569717966
WET_P_3_2,deep,WET_P_3_2_deep,Mwantimba,21.5.2018,117.83,29.2166,28.0473,1.5031,165,6.15,11.4,6.4,88.66831105,0.78792502,0.302049197
WET_P_3_3,5cm,WET_P_3_3_5cm,Mwantimba,21.5.2018,74.66,38.8995,37.5936,1.0375,189,6.15,9.5,5,69.27211801,0.5438575,0.531893281
WET_P_3_3,deep,WET_P_3_3_deep,Mwantimba,21.5.2018,111.54,40.3482,38.7846,1.1148,190,6.39,9.5,4.5,62.34490621,0.58437816,0.609933257
WET_P_3_4,5cm,WET_P_3_4_5cm,Mwantimba,21.5.2018,98.39,38.9029,37.8759,5.5995,191,6.38,11.5,5,69.27211801,2.9352579,0.486553026
WET_P_3_4,deep,WET_P_3_4_deep,Mwantimba,21.5.2018,136.5,41.5044,40.1634,4.06,192,6.53,11.5,6.5,90.05375342,2.128252,0.410613524
WET_P_3_5,5cm,WET_P_3_5_5cm,Mwantimba,21.5.2018,103.62,34.6466,33.5715,0.6814,193,6.34,11,5,69.27211801,0.35718988,0.477256538
WET_P_3_5,deep,WET_P_3_5_deep,Mwantimba,21.5.2018,132.82,42.2293,40.1202,0.3798,194,6.49,11,6,83.12654161,0.19909116,0.479218881
WET_P_4_1,5cm,WET_P_4_1_5cm,Mwantimba,21.5.2018,92.48,40.1078,38.3272,0.4604,195,6.21,10,5,69.27211801,0.24134168,0.548549531
WET_P_4_1,deep,WET_P_4_1_deep,Mwantimba,21.5.2018,104.56,33.7678,30.9497,0.1202,196,6.44,10,5,69.27211801,0.06300884,0.445454368
WET_P_4_2,5cm,WET_P_4_2_5cm,Mwantimba,21.5.2018,81.33,32.1995,29.8575,0.1844,197,6.32,10.5,5,69.27211801,0.09666248,0.428954168
WET_P_4_2,deep,WET_P_4_2_deep,Mwantimba,21.5.2018,96.41,42.4406,38.5029,0.1543,166,6.57,10.5,5.5,76.19932981,0.08088406,0.503801669
WET_P_4_3,5cm,WET_P_4_5_5cm,Mwantimba,21.5.2018,64.03,34.1471,33.3741,1.9846,198,5.79,9.5,5,69.27211801,1.04032732,0.460042155
WET_P_4_3,deep,WET_P_4_5_deep,Mwantimba,21.5.2018,92.64,36.9905,35.7481,1.1261,199,5.55,9.5,4.5,62.34490621,0.59030162,0.560638356
WET_W_1_1,5cm,WET_W_1_1_5cm,Handajega,22.5.2018,98.74,41.7654,40.9971,1.6639,19,5.69,13.2,5,69.27211801,0.87221638,0.575047611
WET_W_1_1,deep,WET_W_1_1_deep,Handajega,22.5.2018,164.02,42.0291,41.2852,2.578,20,5.33,13.2,8.2,113.6062735,1.3513876,0.344815281
WET_W_1_2,5cm,WET_W_1_2_5cm,Handajega,22.5.2018,84.87,39.6147,38.6455,1.6461,21,5.71,12,5,69.27211801,0.86288562,0.540853898
WET_W_1_2,deep,WET_W_1_2_deep,Handajega,22.5.2018,146.4,35.5039,34.396,1.4653,22,5.68,12,7,96.98096522,0.76811026,0.342269232
WET_W_1_3,5cm,WET_W_1_3_5cm,Handajega,22.5.2018,30.78,30.6903,28.2806,0.018,23,6.37,10,5,69.27211801,0.0094356,0.408049458
WET_W_1_3,deep,WET_W_1_3_deep,Handajega,22.5.2018,68.69,32.5613,29.6991,0.015,24,6.4,10,5,69.27211801,0.007863,0.428563044
WET_W_1_4,5cm,WET_W_1_4_5cm,Handajega,22.5.2018,49.28,41.6721,40.8625,2.8269,25,5.99,13,5,69.27211801,1.48186098,0.561077678
WET_W_1_4,deep,WET_W_1_4_deep,Handajega,22.5.2018,141.4,42.7634,41.6696,4.4685,26,6.11,13,8,110.8353888,2.3423877,0.342889399
WET_W_1_5,5cm,WET_W_1_5_5cm,Handajega,22.5.2018,77.47,39.7695,38.9525,1.604,27,5.51,12.5,5,69.27211801,0.8408168,0.545780941
WET_W_1_5,deep,WET_W_1_5_deep,Handajega,22.5.2018,147.96,42.8508,41.7979,1.7331,28,5.09,12.5,7.5,103.908177,0.90849102,0.388979827
WET_W_2_1,5cm,WET_W_2_1_5cm,Handajega,22.5.2018,82.56,40.0608,39.2228,1.0071,29,5.56,14,5,69.27211801,0.52792182,0.555911657
WET_W_2_1,deep,WET_W_2_1_deep,Handajega,22.5.2018,191.1,39.5962,38.6484,2.1592,30,5.27,14,9,124.6898124,1.13185264,0.295320512
WET_W_2_2,5cm,WET_W_2_2_5cm,Handajega,22.5.2018,107.98,42.1069,41.1743,2.3511,31,6.11,11.5,5,69.27211801,1.23244662,0.570596524
WET_W_2_2,deep,WET_W_2_2_deep,Handajega,22.5.2018,128.3,32.286,31.6163,1.3867,32,5.61,11.5,6.5,90.05375342,0.72690814,0.338415623
WET_W_2_3,5cm,WET_W_2_3_5cm,Handajega,22.5.2018,59.91,39.9183,37.2011,0.4924,33,6.69,13,5,69.27211801,0.25811608,0.531902208
WET_W_2_3,deep,WET_W_2_3_deep,Handajega,22.5.2018,113.62,39.9467,37.5954,0.5968,34,6.63,13,8,110.8353888,0.31284256,0.334760655
WET_W_2_4,5cm,WET_W_2_4_5cm,Handajega,22.5.2018,123.43,39.9332,39.3569,2.6895,35,6.05,13.5,5,69.27211801,1.4098359,0.540320762
WET_W_2_4,deep,WET_W_2_4_deep,Handajega,22.5.2018,180.81,40.7309,40.0917,2.8072,36,5.75,13.5,8.5,117.7626006,1.47153424,0.320613622
WET_W_2_5,5cm,WET_W_2_5_5cm,Handajega,22.5.2018,101.72,39.5168,38.7192,1.2879,37,5.61,12,5,69.27211801,0.67511718,0.545669629
WET_W_2_5,deep,WET_W_2_5_deep,Handajega,22.5.2018,138.88,,43.2719,4.5221,38,5.19,12,7,96.98096522,2.37048482,0.409571961
WET_W_3_1,5cm,WET_W_3_1_5cm,Handajega,22.5.2018,63.42,31.4995,30.9854,0.7655,39,5.81,12,5,69.27211801,0.4012751,0.438790912
WET_W_3_1,deep,WET_W_3_1_deep,Handajega,22.5.2018,143.54,40.2062,38.6778,0.8164,40,5.31,12,7,96.98096522,0.42795688,0.392130713
WET_W_3_2,5cm,WET_W_3_2_5cm,Handajega,22.5.2018,94.82,47.7795,46.2281,12.6105,41,6.1,9.4,5,69.27211801,6.6104241,0.536493636
WET_W_3_2,deep,WET_W_3_2_deep,Handajega,22.5.2018,84.27,43.6467,40.9458,0.333,42,6.19,9.4,4.4,60.95946385,0.1745586,0.668139562
WET_W_3_3,5cm,WET_W_3_3_5cm,Handajega,22.5.2018,75.82,34.5171,32.3427,0.0503,43,7.41,12,5,69.27211801,0.02636726,0.466344861
WET_W_3_3,deep,WET_W_3_3_deep,Handajega,22.5.2018,132.67,34.4744,32.7088,0.1922,44,7.13,12,7,96.98096522,0.10075124,0.335637161
WET_W_3_4,5cm,WET_W_3_4_5cm,Handajega,22.5.2018,58.88,40.1949,39.1612,1.4206,45,6.03,12,5,69.27211801,0.74467852,0.550737052
WET_W_3_4,deep,WET_W_3_4_deep,Handajega,22.5.2018,132.32,40.2681,39.3332,2.6095,46,6.23,12,7,96.98096522,1.3678999,0.38408663
WET_W_3_5,5cm,WET_W_3_5_5cm,Handajega,22.5.2018,82.63,20.1412,19.7463,0.1337,47,5.95,14.7,5,69.27211801,0.07008554,0.283410751
WET_W_3_5,deep,WET_W_3_5_deep,Handajega,22.5.2018,181.69,67.9559,66.4014,1.1626,48,5.22,14.7,9.7,134.3879089,0.60943492,0.48766291
WET_W_4_1,5cm,WET_W_4_1_5cm,Handajega,22.5.2018,121.25,46.0656,44.9182,2.0075,49,5.84,12,5,69.27211801,1.0523315,0.629006659
WET_W_4_1,deep,WET_W_4_1_deep,Handajega,22.5.2018,139.01,42.7193,40.5996,0.8428,50,6.17,12,7,96.98096522,0.44179576,0.411820406
WET_W_4_2,5cm,WET_W_4_2_5cm,Handajega,22.5.2018,94.54,51.4743,48.1433,0.3928,51,6.38,11,5,69.27211801,0.20590576,0.691372792
WET_W_4_2,deep,WET_W_4_2_deep,Handajega,22.5.2018,106.13,37.5431,35.1518,0.318,52,6.42,11,6,83.12654161,0.1666956,0.419887472
WET_W_4_3,5cm,WET_W_4_3_5cm,Handajega,22.5.2018,60.11,34.3827,35.6887,0.2797,53,6.9,12,5,69.27211801,0.14661874,0.512242231
WET_W_4_3,deep,WET_W_4_3_deep,Handajega,22.5.2018,105.93,31.9534,29.9483,0.017,54,7.24,12,7,96.98096522,0.0089114,0.308659029
WET_W_4_4,5cm,WET_W_4_4_5cm,Handajega,22.5.2018,74.02,38.7891,38.0836,6.3983,55,6.25,11,5,69.27211801,3.35398886,0.480676567
WET_W_4_4,deep,WET_W_4_4_deep,Handajega,22.5.2018,148.93,,31.5461,6.3543,56,6.49,11,6,83.12654161,3.33092406,0.315704055
WET_W_4_5,5cm,WET_W_4_5_5cm,Handajega,22.5.2018,87.51,41.2565,40.4578,1.5155,57,5.76,11.5,5,69.27211801,0.7944251,0.568685923
WET_W_4_5,deep,WET_W_4_5_deep,Handajega,22.5.2018,102.96,55.1727,52.6482,1.1546,58,5.82,11.5,6.5,90.05375342,0.60524132,0.575678665
